num,year_grade,book,chapter_num,chapter_name,section_num,section_name,knowledge_points
1,10,必修,1,物質的組成與形成,1,物質的分類與分離方法,物質性質與分類、蒸餾法、層析法、萃取法、過濾法、傾析法
2,10,必修,1,物質的組成與形成,2,物質的狀態與相圖,三相圖、相變化、熔點與沸點、三相點與臨界點、壓力影響、物質分離方法
3,10,必修,1,物質的組成與形成,3,原子與分子,化學基本定律、道耳頓原子說、氣體定律、化學計量、原子分子概念
4,10,必修,1,物質的組成與形成,4,原子結構與週期表,原子組成與性質、原子模型發展、電子能階與組態、同位素與平均原子量、週期表分類與性質規律、核反應與放射性
5,10,必修,1,物質的組成與形成,5,化學鍵,化學鍵類型、物質結構與性質、電解質與導電性、原子結構與鍵結原理、同素異形體與化合物分類
6,10,必修,2,物質間的反應,1,化學式,化學式種類與表示法、化學式推算、元素百分組成、同分異構物、同素異形體、官能基
7,10,必修,2,物質間的反應,2,化平衡化學反應式,化學反應式平衡、化學計量、分子式與實驗式、原子不滅
8,10,必修,2,物質間的反應,3,莫耳的概念與化學計劃,莫耳概念與質量轉換、化學反應方程式、化學計量計算、氣體反應與性質、化學定律、化合物分子式與元素組成
9,10,必修,2,物質間的反應,4,化學反應熱,反應熱類型、熱化學方程式、能量圖、反應熱影響因素、能量轉換與守恆、反應熱實驗測定
10,10,必修,3,水溶液中的反應,1,溶液中的種類與特性,溶液基本概念、溶液分類與實例、膠體溶液特性、溶液濃度與溶解度
11,10,必修,3,水溶液中的反應,2,水溶液的濃度,溶液濃度定義與單位、溶液濃度計算與換算、溶液稀釋與混合計算、溶液配製方法與儀器、溶液性質與分類
12,10,必修,3,水溶液中的反應,3,溶解度,溶解度、溶液狀態與平衡、溶解度影響因素、溶解速率、再結晶、溶液濃度計算
13,10,必修,3,水溶液中的反應,4,酸鹼反應,pH值與溶液酸鹼性判斷、酸鹼通性與分類、酸鹼中和反應、酸鹼計算與稀釋、水的解離與離子積常數
14,10,必修,3,水溶夜中的反應,5,氧化與還原反應,氧化還原反應原理、氧化劑與還原劑、氧化還原反應判斷、金屬活性序列、氧化還原反應應用
15,10,必修,4,生活中的化學,1,生物體中的分子,醣類、蛋白質、核酸、脂質、水解反應
16,10,必修,4,生活中的化學,2,藥品與界面活性劑,清潔劑、藥物、生物大分子
17,10,必修,4,生活中的化學,3,新興能源與永續發展,能源種類與特性、能量轉換、綠色化學、環境影響與永續發展、能量守恆定律
18,10,必修,4,生活中的化學,4,環境與化學,水質淨化、硬水軟化、溫室效應、酸雨、臭氧層、空氣汙染物
19,10,必修,4,生活中的化學,5,化學在先進科技發展的應用,奈米材料、奈米碳管、光觸媒、同素異形體、半導體材料、能源科技
20,11,選修一,1,化學計量與反應熱,1,化學反應式的平衡及應用,氧化數計算與判斷、化學反應式平衡、化學計量、氧化還原反應
21,11,選修一,1,化學計量與反應熱,2,化學反應中的能量變化,反應熱、熱化學方程式、熱化學計量、電化學電池、實驗與應用
22,11,選修一,1,化學計量與反應熱,3,赫斯定律,赫斯定律、反應熱、莫耳生成熱、莫耳燃燒熱、熱化學方程式
23,11,選修一,2,氣體,1,氣體的性質,氣體通性、氣體壓力與測量、氣體製備與收集
24,11,選修一,2,氣體,2,氣體的基本定律,波以耳定律、查理定律、亞佛加厥定律、氣體分子運動論、氣體反應計量、壓力測量與計算
25,11,選修一,2,氣體,3,理想氣體,理想氣體方程式、理想氣體性質與真實氣體偏差、分壓定律與混合氣體、壓力測量與換算、飽和蒸氣壓與相變化
26,11,選修一,2,氣體,4,氣體的分壓,道耳頓分壓定律、理想氣體定律及應用、飽和蒸氣壓與氣體收集、氣體化學反應與壓力變化、混合氣體性質計算
27,11,選修一,3,溶液的性質,1,物質的狀態,相圖與物質三態、相變化與熱學、氣體溶解度、離子沉澱反應、液晶材料
28,11,選修一,3,溶液的性質,2,溶液中的溶解特性,沉澱反應與離子鑑定、亨利定律與氣體溶解度、溶液依數性質、離子共存與分離、溶液通性與鑑別
29,11,選修一,3,溶液的性質,3,物質的蒸氣壓,飽和蒸氣壓、拉午耳定律、理想溶液、相對溼度、沸點、分子間作用力、溶液濃度
30,11,選修一,3,溶液的性質,4,溶液的依數性質,依數性質、依數性質計算、依數性質應用、相變曲線判讀、分子量異常現象
31,11,選修二,1,原子結構與週期表,1,原子結構與氫原子光譜,氫原子光譜、電子能階躍遷、原子模型、電磁波性質、芮得柏公式、游離能
32,11,選修二,1,原子結構與週期表,2,原子軌域,原子軌域概念、量子數、原子軌域類型與構造、原子軌域能階、電子填入原則、光譜與能階躍遷
33,11,選修二,1,原子結構與週期表,3,電子組態,電子組態、電子填充規則、原子軌域特性、週期表位置與化學性質、未成對電子數量、電子躍遷與能量變化
34,11,選修二,1,原子結構與週期表,4,原子性質與週期性,元素週期表特性、原子離子半徑、游離能、電負度、電子組態
35,11,選修二,2,化學鍵,1,離子鍵與金屬鍵,化學鍵、晶體類型、熔點、導電性、晶體結構、電子組態
36,11,選修二,2,化學鍵,2,共價鍵,混成軌域、σ鍵與π鍵、鍵長、鍵能、共振結構、化學鍵種類、分子幾何與鍵角
37,11,選修二,2,化學鍵,3,價殼層電子對互斥理論與分子形狀,VSEPR理論、混成軌域、鍵角、分子極性、分子間作用力、化學鍵特性
38,11,選修二,2,化學鍵,4,分子極性與分子間作用力,分子結構與極性、分子間作用力、熔沸點與溶解度、化學鍵與晶體類型
39,11,選修二,3,反應速率定律,1,化學反應速率與表示法,反應速率定義與表示、反應速率測量方法、反應級數、速率定律與速率常數、半生期與放射性衰變、氣相反應速率與壓力關係
40,11,選修二,3,反應速率定律,2,化學反應的模型,碰撞學說、活化能、反應位能圖、反應熱、有效碰撞位向、活化複合體、反應機構與中間產物
41,11,選修二,3,反應速率定律,3,影響反應速率的因素,催化劑、分子動能分布、反應速率常數、反應物濃度、反應物表面積、反應物本性
42,12,選修三,1,化學平衡,1,化學平衡與平衡常數,化學平衡特徵、平衡常數表示法與性質、Kp與Kc關係、平衡常數運算、反應商與平衡方向、化學平衡計算、勒沙特列原理
43,12,選修三,1,化學平衡,2,平衡的移動,勒沙特列原理、濃度、壓力、溫度、平衡常數、催化劑
44,12,選修三,1,化學平衡,3,溶解度平衡,溶度積、同離子效應、沉澱判斷與分離、化學平衡、化學計量
45,12,選修三,2,水溶液中的酸、鹼、鹽平衡反應,1,布-洛酸鹼理論,布-洛酸鹼學說、共軛酸鹼對、酸鹼強度、兩性物質
46,12,選修三,2,水溶液中的酸、鹼、鹽平衡反應,2,溶液的酸鹼度,酸鹼性質與分類、解離平衡與常數、水溶液離子濃度與pH值、解離度與影響因素、多質子酸鹼
47,12,選修三,2,水溶液中的酸、鹼、鹽平衡反應,3,鹽的命名與水解,鹽類命名與分類、鹽類水解與酸鹼性、酸鹼解離常數與平衡、酸鹼滴定與指示劑、緩衝溶液
48,12,選修三,2,水溶液中的酸、鹼、鹽平衡反應,4,緩衝溶液,緩衝溶液組成與配製、緩衝作用原理與效果、緩衝溶液pH計算
49,12,選修三,2,水溶液中的酸、鹼、鹽平衡反應,5,酸鹼滴定,酸鹼滴定原理、滴定曲線、酸鹼指示劑、滴定計算、滴定實驗操作與儀器、溶液酸鹼性判斷與pH計算
50,12,選修五,1,有機化合物,1,有機化合物的組成與命名,烴類分類與性質、有機化合物命名、同分異構物、燃燒分析與分子式/實驗式計算、有機與無機化合物區辨、有機化合物結構與鍵結
51,12,選修五,1,有機化合物,2,不飽和烴,烴類分類、同分異構物、烴類命名、分子結構與鍵結、烴類物理化學性質、分子式與不飽和度
52,12,選修五,1,有機化合物,3,常見有機化合物的種類,有機化合物命名與分類、有機化合物物理化學性質、異構物與分子結構、有機物應用與危害
56,12,選修五,2,有機化合物的製備、反應與用途,1,碳氫化合物,烴類分類與通性、烴類化學反應、異構現象、烴類鑑別、石化工業與應用
58,12,選修五,2,有機化合物的製備、反應與用途,2,有機鹵化物,有機鹵化物、鹵化物的化學反應與製備、鹵化物的應用與環境影響、鹵化物的物理性質
60,12,選修五,2,有機化合物的製備、反應與用途,3,醇、酚、醚,醇、酚、醚性質、醇類氧化反應、醇類製備與脫水反應、有機物異構現象、有機物化學鑑定、有機反應定量計算
61,12,選修五,2,有機化合物的製備、反應與用途,4,醛與酮,醛類、酮類、氧化還原反應、醛酮檢驗試劑、官能基、同分異構物
62,12,選修五,2,有機化合物的製備、反應與用途,5,酸與酯,酯類、油脂與脂肪酸、羧酸、醇類、有機氧化還原反應、有機化合物性質與鑑定
63,12,選修五,2,有機化合物的製備、反應與用途,6,胺與醯胺,胺類化學、有機酸與酯化反應、有機化合物物理性質比較、有機反應類型、有機化合物酸鹼性
64,12,選修五,3,聚合物,1,常見聚合物的分類與性質,聚合物性質、單體、加成聚合反應、縮合聚合反應、聚合物分類、聚合度與分子量
65,12,選修五,3,聚合物,2,常見聚合物的結構與製備,醣類、蛋白質、核酸、聚合物與聚合反應、塑膠與橡膠性質
67,12,選修五,3,聚合物,3,化學與生活,聚合物種類、聚合反應與單體、聚合物特性與應用、環境衝擊與永續發展
69,12,選修四,1,氧化與還原反應,1,氧化數及其應用,氧化數、氧化還原反應判斷、氧化劑與還原劑、氧化還原反應平衡
70,12,選修四,1,氧化與還原反應,2,氧化還原滴定,滴定儀器、氧化還原滴定原理、氧化劑與還原劑種類、滴定定量計算、滴定實驗條件、溶液標定
71,12,選修四,1,氧化與還原反應,3,電化電池,氧化還原反應、電化電池構造、標準電極電位、化學電池類型、影響電池電位的因素、電化學應用
72,12,選修四,1,氧化與還原反應,4,電解與電鍍,電解概念與產物、電解定量計算、電鍍與電解精煉、金屬腐蝕與陰極保護、電解工業應用
73,12,選修四,2,生活中常見的物質及其應用,1,非金屬元素,氫及其化合物、氮及其化合物、氧及其化合物、碳及其化合物、矽及其化合物
74,12,選修四,2,生活中常見的物質及其應用,2,主族金屬元素,鹼金屬性質、鹼土金屬性質、鋁性質、金屬製備、鈉化合物、鎂化合物、鋁化合物
75,12,選修四,2,生活中常見的物質及其應用,3,過渡金屬元素,配位化合物、過渡元素性質、金屬冶煉與合金、金屬腐蝕與防護、生物錯合物
76,12,選修四,2,生活中常見的物質及其應用,4,先進材料,半導體、導電性質、奈米科技、奈米材料、碳同素異形體、液晶顯示器、長度單位換算
