subject,ques_no,chapter name,section name,ques_detl
高中化學,1,物質的組成與形成,物質的分類與分離方法,下列物質收集及分離方法的敘述，何者正確？(A)以濾紙進行層析法時，墨水中的色素與濾紙作用力小，與溶劑作用力大者移動較近(B)欲分離食鹽水的食鹽與水，可使用傾析法(C)蒸餾法是利用物質間熔點的差異來分離(D)萃取是利用成分物質溶解度不同而分離《答案》D《解析》(A)色素與濾紙間作用力愈小，和溶劑(展開液)的作用力愈大者，則移動距離較大；(B)可用蒸餾法或結晶法分離食鹽與水；(C)蒸餾法是利用沸點的差異來分離物質。
高中化學,2,物質的組成與形成,物質的分類與分離方法,在菠菜葉中加入丙酮，並加以研磨後，吸取葉汁滴於濾紙上，再將濾紙浸入丙酮與正己烷的混合溶液中，以進行層析法實驗，裝置如圖一所示，靜置一段時間後，所得的結果如圖二所示，試問下列相關敘述哪些正確？(A)本實驗的展開液為葉汁中的水(B)本實驗的固定相為濾紙(C)與濾紙間附著力最大者為胡蘿蔔素(D)與展開液間作用力最大者為葉綠素《答案》B《解析》(A)展開液為正己烷和丙酮的混合溶液；(C)胡蘿蔔素展開移動的距離最大，故與濾紙間的作用力最小；(D)葉綠素展開移動的距離最小，故與展開液的作用力最小。
高中化學,3,物質的組成與形成,物質的分類與分離方法,下列有關物質的敘述，何者錯誤？(A)純物質具有一定的熔點和沸點(B)混合物只能利用化學方法來分離出其中各物質(C)純物質亦可能以化學方法使其成分分離(D)物質間的轉變常常會涉及到能量的變化(E)純物質的組成分類為元素與化合物《答案》B《解析》(B)通常用物理方法即可分離混合物，例如：過濾、層析、蒸餾等。(C) 例如：水電解分成H2和O2。
高中化學,4,物質的組成與形成,物質的分類與分離方法,下列何者所描述的性質為物質之化學性質？(A)一大氣壓下，乾冰會昇華成二氧化碳氣體(B)碳酸鈣為白色粉末，加熱可以產生氣體(C)木塊的密度比水小，可浮在水面上(D)銀的導電性比鐵佳(E)玻璃窗破裂成一堆小玻璃。《答案》B《解析》(A)昇華是物理變化。(B)分解是化學變化。(C)密度是物理性質。(D)導電性是物理變化(E)玻璃破碎組成未變。
高中化學,5,物質的組成與形成,物質的分類與分離方法,下列四圖中，小白球代表氦原子，大灰球代表氮原子。哪一圖最適合表示標狀態（STP）時，氦氣與氮氣混合氣體的狀態？(A)(B)(C)(D)(E)《答案》A
高中化學,6,物質的組成與形成,物質的分類與分離方法,附圖中，小藍球代表氦原子，大灰球代表氮原子。哪一圖最適合表示標 準狀態（STP）時，氦氣與氮氣混合氣體的狀態？《答案》A《解析》?標準狀態（STP）指 0°C，1 atm，氦與氮在標準狀態下為氣體，混合氣體都 是均勻混合物。?氦為單原子分子（He），氮氣為雙原子分子（N2）。
高中化學,7,物質的組成與形成,物質的分類與分離方法,關於物質分離或純化的方法，下列敘述何者正確？(A)海水可以經過曝曬，直接得到純氯化鈉晶體(B)已知丙酮與水互溶，則可利用丙酮來萃取咖啡水溶液中的咖啡因(C)糖與食鹽固體的混合物，可在常溫下利用糖的昇華，來分離出食鹽晶體(D)蒸餾是利用溶液中各成分物質的沸點差異，沸點較高的物質會先蒸餾出來，經冷凝後收集(E)色層分析是利用混合物中各成分與固定相的附著力差異，附著力大的物質，移動速率較慢 《答案》E《解析》(A)海水經由曝曬蒸發獲得粗鹽，仍是混合物。(B)丙酮與水互溶，無法直接萃取。(C)糖與食鹽固體，均無法在常溫下昇華。(D)蒸餾是沸點較低的物質會先蒸餾出來。
高中化學,8,物質的組成與形成,物質的分類與分離方法,下列何種物質中僅含一種分子？(A)牛奶(B)鹽酸(C)氨氣(D)空氣(E)黃銅 《答案》C《解析》僅含一種分子的物質，是為純物質。(A)牛奶（蛋白質+礦物質+水…）。(B)鹽酸（HCl+H2O）。(C)氨氣（NH3）。(D)空氣（N2+O2+…）。(E)黃銅（銅+鋅）。
高中化學,9,物質的組成與形成,物質的分類與分離方法,下列何者有誤？(A)純物質具有一定的組成及一定的特性	(B)混合物的性質隨組成而定(C)均勻的混合物又稱為溶液(D)化合物不具有組成成分元素的性質(E)欲分離混合物中各物質須用化學方法 《答案》E《解析》(E)欲分離混合物中各物質須用物理方法。
高中化學,10,物質的組成與形成,物質的分類與分離方法,下面有關元素及原子的概念，哪一項敘述正確？(A)純物質甲受熱分解產生純物質乙及氣體丙，則物質甲不可能是元素(B)具有物質特性之最小單元是原子(C)由兩種相同元素組成的多種化合物，性質必相同(D)乾淨的空氣是化合物(E)過氧化氫受熱可分解出氧氣，所以過氧化氫是混合物 《答案》A《解析》(B)具有物質特性的最小單元是分子。(C)如CO與CO2之性質不同。(D)乾淨的空氣是由N2、O2、CO2、Ar等混合而成的混合物。(E)過氧化氫（H2O2）為化合物。
高中化學,11,物質的組成與形成,物質的分類與分離方法,許多人喜歡在夏天到海邊戲水，也會在沙灘玩沙。試問在臺灣沿海的沙灘隨意抓取的一把沙是屬於下列哪一類的物質？(A)元素(B)純物質(C)化合物(D)混合物(E)聚合物 《答案》D《解析》沙是由石英、長石、黏土等物質混合而成的混合物。
高中化學,12,物質的組成與形成,物質的分類與分離方法,要從一杯食鹽水取得其中的溶劑成分，適當的處理方法是將此食鹽水(A)過濾(B)蒸餾(C)沉澱(D)蒸發結晶  (E)萃取 《答案》B《解析》食鹽水常藉蒸餾法將水蒸發再冷凝得到水。若要取得食鹽需利用蒸發結晶法。
高中化學,13,物質的組成與形成,物質的分類與分離方法,圖中以大灰球與小藍球分別代表兩種不同的原子，有關甲、乙、丙、丁四圖所含的物質，下列敘述何者最合理？(A)甲圖中是化合物(B)乙圖中是混合物(C)丙圖中是純物質(D)丁圖中是元素 《答案》D《解析》(A)甲圖中是二種純物質的混合物。(B)乙圖中是化合物。(C)丙圖中是三種純物質的混合物。
高中化學,14,物質的組成與形成,物質的分類與分離方法,無咖啡因（或低咖啡因）的咖啡，能滿足某些喜歡咖啡的香味、卻不希望攝取過量咖啡因的人們。若欲在實驗室裡，從咖啡豆中將咖啡因分離，可先取一裝有熱水的燒杯，倒入咖啡豆後，緩緩加熱、浸泡咖啡豆一段時間，待冷卻後再將乙酸乙酯加入燒杯中。若欲萃取此混合物中的咖啡因，則下列哪一玻璃器材最適合？（已知咖啡因的熔點為235~238°C）。(A) (B) (C) (D) (E) 《答案》E《解析》萃取應使用分液漏斗。
高中化學,15,物質的組成與形成,物質的分類與分離方法,萃取時，使用分液漏斗來分離兩互不相溶的液體，附圖中，何者為分液漏斗？(A)甲(B)乙(C)丙(D)丁《答案》C《解析》甲：布氏漏斗。乙：薊頭漏斗。丁：漏斗。
高中化學,16,物質的組成與形成,物質的分類與分離方法,用水煎中藥是利用下列哪項原理？(A)蒸餾(B)萃取(C)昇華(D)層析(E)分餾《答案》B《解析》(B)用水煎煮中藥，可萃取出可溶於水的化學成分。
高中化學,17,物質的組成與形成,物質的分類與分離方法,下列有關混合物分離所採用的主要方法，何者錯誤？(A)榨取橄欖後的沉降殘渣和橄欖油—傾析法(B)製作乳酪的過程中，將牛奶酸化，使酪蛋白凝聚，然後將其中的水分瀝除—過濾法(C)將玫瑰花瓣隔水加熱，其蒸氣冷凝後得到玫瑰晶露與玫瑰精油—蒸餾法(D)將二氯甲烷和茶葉湯汁充分混合，使茶湯中的咖啡因溶解出—蒸餾法€分離彩色筆顏料中的不同色素—濾紙層析法《答案》D《解析》(D)為萃取法。
高中化學,18,物質的組成與形成,物質的分類與分離方法,碘不易溶於水，但可溶於正己烷，加入正己烷溶劑，由於水與正己烷不互溶，因此實驗結果為下層顏色略為變淡，上層變紫色，再利用分液漏斗將水與正己烷溶劑分離，可分離出碘的方法為何？(A)傾析法(B)離心法(C)萃取法(D)層析法《答案》C《解析》萃取是利用物質在不同溶劑中的溶解度差異，將某特定成分轉移到另一溶劑中，達到分離的目的，常見的操作方式為使用分液漏斗來進行液相間的萃取。
高中化學,19,物質的組成與形成,物質的分類與分離方法,附圖為蒸餾裝置，試指出裝置中需要修正之處為何？(A)溫度計位置(B)加熱裝置(C)冷水入口(D)收集瓶位置(E)蒸餾瓶《答案》A《解析》溫度計的底部應在圓 底燒瓶的側管位置。
高中化學,20,物質的組成與形成,物質的分類與分離方法,下列何種純化方法，最適合用來分離食鹽水溶液？(A)蒸餾法(B)過濾法(C)傾析法(D)離心法(E)濾紙色層分析法《答案》A《解析》(B)用於不均勻混合物的分離。(C)用於不均勻混合物的分離。(D)用於不均勻混合物的分離。(E)常用於有機物質的分離。
高中化學,21,物質的組成與形成,物質的分類與分離方法,現有一瓶由甲和乙兩化合物組成的混合物，已知甲與乙的性質如附表。根據此表，將甲、乙分離的最佳方法為何？(A)靜置(B)傾析(C)過濾(D)蒸餾(E)加水萃取《答案》D《解析》因沸點有較明顯的差異，故以蒸餾分離為較佳的選擇
