num,year_grade,book,chapter_num,chapter_name,section_num,section_name,old_section_name
1,8,1,1,人性尊嚴與人權保障,1,什麼是人性尊嚴？,人性尊嚴與人權保障什麼是人性尊嚴？
2,8,1,1,人性尊嚴與人權保障,2,為什麼保障人權與維護人性尊嚴有關？,人性尊嚴與人權保障為什麼保障人權與維護人性尊嚴有關？
3,8,1,1,人性尊嚴與人權保障,3,如何保障人權以維護人性尊嚴？,人性尊嚴與人權保障如何保障人權以維護人性尊嚴？
4,8,1,2,公平正義下的性別平等,1,為何會產生性別不平等的現象？,公平正義下的性別平等為何會產生性別不平等的現象？
5,8,1,2,公平正義下的性別平等,2,如何檢視公不公平？,公平正義下的性別平等如何檢視公不公平？
6,8,1,2,公平正義下的性別平等,3,如何促進性別平等？,公平正義下的性別平等如何促進性別平等？
7,8,1,3,家庭型態與功能,1,法律如何規範親屬關係？,我們都是一家人法律如何規範親屬關係？
8,8,1,3,家庭型態與功能,2,家庭型態為何產生轉變？,我們都是一家人家庭型態為何產生轉變？
9,8,1,3,家庭型態與功能,3,家庭功能如何改變？,我們都是一家人家庭功能如何改變？
10,8,1,4,家庭關係,1,家人親密關係如何維持？,家庭協奏曲家人親密關係如何維持？
11,8,1,4,家庭關係,2,政府如何協助建立平權家庭？,家庭協奏曲政府如何協助建立平權家庭？
12,8,1,4,家庭關係,3,政府如何協助家庭發揮功能？,家庭協奏曲政府如何協助家庭發揮功能？
13,8,1,5,校園生活中的公共參與,1,為什麼我們要到學校？,校園生活中的公共參與為什麼我們要到學校？
14,8,1,5,校園生活中的公共參與,2,我們在學校有哪些權利與責任？,校園生活中的公共參與我們在學校有哪些權利與責任？
15,8,1,5,校園生活中的公共參與,3,學生如何參與校園公共事務？,校園生活中的公共參與學生如何參與校園公共事務？
16,8,1,6,社區與部落,1,社區參與的重要性為何？,我住故我在●社區與部落社區參與的重要性為何？
17,8,1,6,社區與部落,2,部落的意義與重要性為何？,我住故我在●社區與部落部落的意義與重要性為何？
18,8,1,6,社區與部落,3,部落如何因應危機與挑戰？,我住故我在●社區與部落部落如何因應危機與挑戰？
19,8,2,1,社會生活中的公民德性,1,如何融入社會生活？,社會生活中的公民德性如何融入社會生活？
20,8,2,1,社會生活中的公民德性,2,為何應參與公共事務？,社會生活中的公民德性為何應參與公共事務？
21,8,2,1,社會生活中的公民德性,3,社會成員應如何扮演好其角色？,社會生活中的公民德性社會成員應如何扮演好其角色？
22,8,2,2,團體參與中的志願結社,1,為什麼要參與團體？,團體參與中的志願結社為什麼要參與團體？
23,8,2,2,團體參與中的志願結社,2,什麼是志願結社？,團體參與中的志願結社什麼是志願結社？
24,8,2,2,團體參與中的志願結社,3,志願結社對公共生活有何影響？,團體參與中的志願結社志願結社對公共生活有何影響？
25,8,2,3,社會文化中的多元尊重,1,什麼是文化？,社會文化中的多元尊重什麼是文化？
26,8,2,3,社會文化中的多元尊重,2,文化不平等如何形成？,社會文化中的多元尊重文化不平等如何形成？
27,8,2,3,社會文化中的多元尊重,3,如何營造多元文化的社會？,社會文化中的多元尊重如何營造多元文化的社會？
28,8,2,4,社會互動中的社會規範,1,為什麼社會存在規範？,社會互動中的社會規範為什麼社會存在規範？
29,8,2,4,社會互動中的社會規範,2,不同社會規範的效力有何差異？,社會互動中的社會規範不同社會規範的效力有何差異？
30,8,2,4,社會互動中的社會規範,3,社會規範是一成不變的嗎？,社會互動中的社會規範社會規範是一成不變的嗎？
31,8,2,5,社會變遷中的公平正義,1,科技發展如何加速社會變遷？,社會變遷中的公平正義科技發展如何加速社會變遷？
32,8,2,5,社會變遷中的公平正義,2,社會變遷存在哪些不公平現象？,社會變遷中的公平正義社會變遷存在哪些不公平現象？
33,8,2,5,社會變遷中的公平正義,3,如何促進社會變遷中的公平正義？,社會變遷中的公平正義如何促進社會變遷中的公平正義？
34,8,2,6,社會福利中的國家責任,1,社會福利與基本生活保障關係為何？,社會福利中的國家責任社會福利與基本生活保障關係為何？
