num,year_grade,book,chapter_num,chapter_name,section_num,section_name,old_section_name
1,8,1,1,位置、地圖與座標系統,1,我的位置在哪裡？,位置、地圖與座標系統我的位置在哪裡？
2,8,1,1,位置、地圖與座標系統,2,絕對位置對日常生活有哪些影響？,位置、地圖與座標系統絕對位置對日常生活有哪些影響？
3,8,1,2,位置對臺灣的影響,1,臺灣的位置如何表示？,位置對臺灣的影響臺灣的位置如何表示？
4,8,1,2,位置對臺灣的影響,2,位置對臺灣帶來哪些影響？,位置對臺灣的影響位置對臺灣帶來哪些影響？
5,8,1,3,臺灣的地形,1,臺灣地形的樣貌為何？,臺灣的地形臺灣地形的樣貌為何？
6,8,1,3,臺灣的地形,2,如何表現一地的地形？,臺灣的地形如何表現一地的地形？
7,8,1,3,臺灣的地形,3,如何適度利用土地資源？,臺灣的地形如何適度利用土地資源？
8,8,1,4,臺灣的海域,1,臺灣的海岸如何利用？,臺灣的海域臺灣的海岸如何利用？
9,8,1,4,臺灣的海域,2,臺灣的海域利用現況如何？,臺灣的海域臺灣的海域利用現況如何？
10,8,1,5,臺灣的氣候,1,今天的天氣如何？,臺灣的氣候今天的天氣如何？
11,8,1,5,臺灣的氣候,2,臺灣的氣候有什麼特色？,臺灣的氣候臺灣的氣候有什麼特色？
12,8,1,6,臺灣的水文,1,臺灣的水資源夠用嗎？,臺灣的水文臺灣的水資源夠用嗎？
13,8,1,6,臺灣的水文,2,如何充分利用水資源？,臺灣的水文如何充分利用水資源？
14,8,2,1,臺灣的人口成長與分布,1,臺灣的人口如何變動？,臺灣的人口成長與分布臺灣的人口如何變動？
15,8,2,1,臺灣的人口成長與分布,2,人口為什麼會遷移？,臺灣的人口成長與分布人口為什麼會遷移？
16,8,2,1,臺灣的人口成長與分布,3,臺灣的人口分布有何特徵？,臺灣的人口成長與分布臺灣的人口分布有何特徵？
17,8,2,2,臺灣的人口組成與多元族群,1,什麼是人口組成？,臺灣的人口組成與多元族群什麼是人口組成？
18,8,2,2,臺灣的人口組成與多元族群,2,臺灣近年有哪些重要的人口議題？,臺灣的人口組成與多元族群臺灣近年有哪些重要的人口議題？
19,8,2,2,臺灣的人口組成與多元族群,3,臺灣多元族群的文化特色是什麼？,臺灣的人口組成與多元族群臺灣多元族群的文化特色是什麼？
20,8,2,3,臺灣的第一級產業,1,臺灣的產業結構是怎麼轉變的？,臺灣的第一級產業臺灣的產業結構是怎麼轉變的？
21,8,2,3,臺灣的第一級產業,2,第一級產業臺灣的農業發展有哪些特色？,臺灣的第一級產業第一級產業臺灣的農業發展有哪些特色？
22,8,2,3,臺灣的第一級產業,3,第一級產業臺灣的漁業和畜牧業發展有什麼特色？,臺灣的第一級產業第一級產業臺灣的漁業和畜牧業發展有什麼特色？
23,8,2,4,臺灣的第二、三級產業,1,工廠要蓋在哪裡比較好？,臺灣的第二、三級產業工廠要蓋在哪裡比較好？
24,8,2,4,臺灣的第二、三級產業,2,臺灣的工業發展有哪些特色？,臺灣的第二、三級產業臺灣的工業發展有哪些特色？
25,8,2,4,臺灣的第二、三級產業,3,臺灣的國際貿易有什麼特色？,臺灣的第二、三級產業臺灣的國際貿易有什麼特色？
26,8,2,5,臺灣的聚落類型與交通網絡,1,鄉村和都市有什麼差異？,臺灣的聚落類型與交通網絡鄉村和都市有什麼差異？
