num,year_grade,book,chapter_num,chapter_name,section_num,section_name,old_section_name
1,8,1,1,史前文化與原住民族,1,從考古認識史前文化,史前文化與原住民族從考古認識史前文化
2,8,1,1,史前文化與原住民族,2,臺灣原住民族的傳說與遷徙,史前文化與原住民族臺灣原住民族的傳說與遷徙
3,8,1,2,大航海時代各方勢力在臺灣,1,東亞海上貿易的發展,大航海時代各方勢力在臺灣東亞海上貿易的發展
4,8,1,2,大航海時代各方勢力在臺灣,2,各方勢力在臺的競爭,大航海時代各方勢力在臺灣各方勢力在臺的競爭
5,8,1,3,大航海時代臺灣原住民與外來者,1,原住民與歐洲人的互動,大航海時代臺灣原住民與外來者原住民與歐洲人的互動
6,8,1,3,大航海時代臺灣原住民與外來者,2,原住民與鄭氏政權的互動,大航海時代臺灣原住民與外來者原住民與鄭氏政權的互動
7,8,1,4,清帝國時期的行政治理,1,初期的治臺政策,清帝國時期的行政治理初期的治臺政策
8,8,1,4,清帝國時期的行政治理,2,行政區劃演變,清帝國時期的行政治理行政區劃演變
9,8,1,4,清帝國時期的行政治理,3,對外事件與施政改革,清帝國時期的行政治理對外事件與施政改革
10,8,1,5,清帝國時期的農商發展,1,農業發展,清帝國時期的農商發展農業發展
11,8,1,5,清帝國時期的農商發展,2,臺灣與中國的貿易活動,清帝國時期的農商發展臺灣與中國的貿易活動
12,8,1,5,清帝國時期的農商發展,3,開港後的變遷,清帝國時期的農商發展開港後的變遷
13,8,1,6,清帝國時期的社會與文化,1,變動的移民社會,清帝國時期的社會與文化變動的移民社會
14,8,1,6,清帝國時期的社會與文化,2,西方文化的再傳入,清帝國時期的社會與文化西方文化的再傳入
15,8,1,6,清帝國時期的社會與文化,3,原住民社會文化的變遷,清帝國時期的社會與文化原住民社會文化的變遷
16,8,2,1,日治時期的統治,1,殖民統治體制的建立,日治時期的統治殖民統治體制的建立
17,8,2,1,日治時期的統治,2,「理藩」政策與霧社事件,日治時期的統治「理藩」政策與霧社事件
18,8,2,2,日治時期的經濟發展,1,基礎建設,日治時期的經濟發展基礎建設
