ques_no,subject,chapter_name,section_name,question_text,matched_knowledge_point,status,reason
1,高中化學,物質的組成與形成,物質的分類與分離方法,下列物質收集及分離方法的敘述，何者正確？(A)以濾紙進行層析法時，墨水中的色素與濾紙作用力小，與溶劑作用力大者移動較近(B)欲分離食鹽水的食鹽與水，可使用傾析法(C)蒸餾法是利用物質間熔點的差異來分離...,萃取法,matched,
2,高中化學,物質的組成與形成,物質的分類與分離方法,在菠菜葉中加入丙酮，並加以研磨後，吸取葉汁滴於濾紙上，再將濾紙浸入丙酮與正己烷的混合溶液中，以進行層析法實驗，裝置如圖一所示，靜置一段時間後，所得的結果如圖二所示，試問下列相關敘述哪些正確？(A)本實...,,skipped,題目提到圖片相關內容: 如圖
3,高中化學,物質的組成與形成,物質的分類與分離方法,下列有關物質的敘述，何者錯誤？(A)純物質具有一定的熔點和沸點(B)混合物只能利用化學方法來分離出其中各物質(C)純物質亦可能以化學方法使其成分分離(D)物質間的轉變常常會涉及到能量的變化(E)純物質...,物質性質與分類,matched,
4,高中化學,物質的組成與形成,物質的分類與分離方法,下列何者所描述的性質為物質之化學性質？(A)一大氣壓下，乾冰會昇華成二氧化碳氣體(B)碳酸鈣為白色粉末，加熱可以產生氣體(C)木塊的密度比水小，可浮在水面上(D)銀的導電性比鐵佳(E)玻璃窗破裂成一堆...,物質性質與分類,matched,
5,高中化學,物質的組成與形成,物質的分類與分離方法,下列四圖中，小白球代表氦原子，大灰球代表氮原子。哪一圖最適合表示標狀態（STP）時，氦氣與氮氣混合氣體的狀態？(A)(B)(C)(D)(E)《答案》A,,skipped,題目提到圖片相關內容: 圖中
6,高中化學,物質的組成與形成,物質的分類與分離方法,附圖中，小藍球代表氦原子，大灰球代表氮原子。哪一圖最適合表示標 準狀態（STP）時，氦氣與氮氣混合氣體的狀態？《答案》A《解析》?標準狀態（STP）指 0°C，1 atm，氦與氮在標準狀態下為氣體，...,,skipped,題目提到圖片相關內容: 圖中
7,高中化學,物質的組成與形成,物質的分類與分離方法,關於物質分離或純化的方法，下列敘述何者正確？(A)海水可以經過曝曬，直接得到純氯化鈉晶體(B)已知丙酮與水互溶，則可利用丙酮來萃取咖啡水溶液中的咖啡因(C)糖與食鹽固體的混合物，可在常溫下利用糖的昇華...,層析法,matched,
8,高中化學,物質的組成與形成,物質的分類與分離方法,下列何種物質中僅含一種分子？(A)牛奶(B)鹽酸(C)氨氣(D)空氣(E)黃銅 《答案》C《解析》僅含一種分子的物質，是為純物質。(A)牛奶（蛋白質+礦物質+水…）。(B)鹽酸（HCl+H2O）。(C...,物質性質與分類,matched,
9,高中化學,物質的組成與形成,物質的分類與分離方法,下列何者有誤？(A)純物質具有一定的組成及一定的特性	(B)混合物的性質隨組成而定(C)均勻的混合物又稱為溶液(D)化合物不具有組成成分元素的性質(E)欲分離混合物中各物質須用化學方法 《答案》E《解...,物質性質與分類,matched,
10,高中化學,物質的組成與形成,物質的分類與分離方法,下面有關元素及原子的概念，哪一項敘述正確？(A)純物質甲受熱分解產生純物質乙及氣體丙，則物質甲不可能是元素(B)具有物質特性之最小單元是原子(C)由兩種相同元素組成的多種化合物，性質必相同(D)乾淨的...,物質性質與分類,matched,
