num,year_grade,book,chapter_num,chapter_name,section_num,section_name,knowledge_points,section_summary
,10,必修,1,物質的組成,1,物質的分類與分離,純物質與混合物、元素與化合物、物質的性質、均勻與非均勻混合物、物質分離方法、溶液與溶劑、同素異形體、化合物的固定組成、物質轉變與能量變化,本節探討物質的基本分類與分離方法，主要區分純物質與混合物，並進一步區分純物質為元素與化合物，混合物則可分為均勻與非均勻混合物。物質具有物理性質與化學性質，例如密度、熔點、沸點、導電性屬於物理性質，而燃燒性、反應性則屬於化學性質。此外，本節介紹了不同的物質分離技術，如蒸餾法利用沸點差異分離液體、萃取法依據物質的溶解度差異進行分離、層析法透過附著力差異分離混合物、過濾法適用於固液混合物分離、傾析法則利用沉降現象分離懸浮液。本節亦探討物質在轉變過程中的能量變化，如昇華、結晶等，並介紹了同素異形體的概念，例如氧氣與臭氧的不同。
,10,必修,1,物質的組成,2,三相圖,三相圖、臨界點、熔沸點、壓力對相變的影響、蒸發與冷凝、超臨界流體,本節探討物質的三種狀態——固態、液態與氣態，以及它們之間的相變化，包括熔化、凝固、蒸發、凝結、昇華與凝華。透過相圖的概念，可以理解溫度與壓力對物質狀態的影響，例如水的三相點與臨界點，以及不同物質的相變特性。此外，本節還介紹了壓力對熔點與沸點的影響，例如水的熔點會隨壓力增加而下降，這與冰的體積膨脹特性相關。透過對相圖的分析，能夠解釋現象如乾冰的昇華、汽車壓縮積雪導致路面結冰等。此外，也涵蓋了純物質與混合物的區別，並介紹超臨界流體在工業應用中的實例，如二氧化碳萃取咖啡因技術。
,10,必修,1,物質的組成,3,原子與分子,道耳頓原子說、質量守恆定律、定比定律、倍比定律、氣體反應體積定律、原子與分子、分子式、亞佛加厥定律、原子量與分子量、氣體莫耳體積關係,本節主要介紹物質最基本的組成單位——原子與分子，並探討其相關的化學定律。首先，道耳頓原子說奠定了近代化學的基礎，主張所有物質由不可再分的原子組成。接著，質量守恆定律說明化學反應中物質總質量保持不變，而定比定律則指出同一化合物的元素質量比恆定。此外，倍比定律描述當兩元素形成多種化合物時，固定一元素的質量，另一元素的質量比呈簡單整數比。氣體反應體積定律則揭示氣態物質反應時的體積比關係。亞佛加厥定律進一步說明，在相同條件下，相同體積的氣體具有相同的分子數。本節也涵蓋原子量、分子量及其計算方式，幫助理解物質的微觀結構與化學性質。
,10,必修,1,物質的組成,4,原子結構與週期表,原子結構、電子能階、波耳模型、元素週期表、同位素、價電子、離子形成、電子排布、核反應,原子結構與週期表探討物質的基本組成。原子由質子、中子和電子組成，其中質子與中子位於原子核，電子則分布在電子能階中。電子能階決定原子的化學行為，例如電子從高能階躍遷到低能階時，會釋放能量，產生光譜。波耳模型描述電子沿特定軌道運行，現代則採電子雲模型來表示電子的分布機率。元素週期表依原子序排列，反映元素的週期性與族性。同位素是指同一元素但質量數不同的原子。價電子數決定化學性質，影響元素的反應能力與離子形成。這些概念是理解化學鍵結與反應的基礎。
,10,必修,1,物質的組成,5,化學鍵,共價鍵、離子鍵、金屬鍵、分子間作用力、鍵能與鍵長、八隅體規則、電解質與導電性、共價網狀固體、鍵極性與分子極性,本節主要探討化學鍵的種類與其性質。化學鍵可分為共價鍵、離子鍵與金屬鍵，分別由電子共用、電子轉移及電子雲自由移動形成。共價鍵依電子共享的方式可分為單鍵、雙鍵與參鍵，並影響鍵長與鍵能。此外，分子間作用力如氫鍵與凡得瓦力決定物質的物理性質。化學鍵的形成通常遵循八隅體規則，但部分分子如NO不符合此規則。化學鍵的類型影響物質的導電性，離子化合物在固態時不導電，但溶於水或熔融時可導電，而共價網狀固體如金剛石則因穩定的共價鍵結構導致高熔點與絕緣性。此外，鍵的極性影響分子的極性，進而影響物質的溶解性與化學性質。
,10,必修,2,物質的反應,1,化學式,實驗式、分子式、示性式、結構式、化合物的分子組成、同分異構物、官能基、離子化合物、共價化合物、質量百分組成,本節探討化學式的概念及其在描述物質組成中的應用。首先，化學式可分為實驗式、分子式、示性式與結構式，其中實驗式僅表示原子的最簡比例，而分子式則呈現分子內實際的原子數。示性式進一步顯示官能基的存在，例如醋酸可寫為 CH₃COOH，展現其羧基結構。此外，許多化學物質可能具有相同的分子式但不同的結構，稱為同分異構物，如乙醇與甲醚。同時，化學式還可用來計算化合物的質量百分組成，透過元素分析推導出其可能的分子式。此外，本節亦介紹離子化合物與共價化合物的不同表達方式，如氯化鈉以 NaCl 表示，二氧化矽則以 SiO₂ 為實驗式。透過這些概念，學生能夠理解化學式的多層次意義，並能應用於化學計算與化學性質的分析。
,10,必修,2,物質的反應,2,反應式與平衡,化學反應式的平衡原則、係數比與莫耳數關係、氣體反應體積比、電荷守恆,本節主要探討化學反應式的平衡原則，強調質量守恆定律，即反應前後各元素的原子總數必須相等。化學方程式的配平可透過觀察法、代數法或氧化還原法進行。針對氧化還原反應，需額外考慮電子轉移數目，使電子數相等。此外，在燃燒反應中，氧氣的消耗量與生成的二氧化碳和水的數量密切相關，因此氧氣需求量可用來比較不同燃料的燃燒效率。對於氣體反應，依據氣體莫耳體積比，可推測氣體在化學反應中的變化。此概念在工業與日常應用，如燃料燃燒、爆炸反應、汽車氣囊膨脹機制等，皆具有重要意義。掌握這些概念能幫助學生更準確地理解和運用化學反應式。
,10,必修,2,物質的反應,3,莫耳與化學計量,莫耳數、化學反應係數、質量守恆定律、氣體體積與莫耳數關係、化學方程式計算、限量試劑、莫耳體積,本節主要介紹莫耳的概念與化學計量，涵蓋物質的莫耳數、阿伏加德羅常數與原子、分子、離子的數量關係，並進一步探討質量守恆定律如何應用於化學反應。透過化學方程式，我們可以計算反應物與生成物的質量、莫耳數及體積關係，並學習如何找出化學反應中的限量試劑。此外，氣體莫耳體積的概念幫助我們理解氣體反應的體積變化，從而解決涉及不同狀況的氣體計算問題。本節內容為進一步學習化學計量及定量分析奠定基礎，對於各類化學計算題目具有重要應用價值。
,10,必修,2,物質的反應,4,反應熱,反應熱、焓變化 (ΔH)、標準反應熱 (ΔH°)、放熱反應與吸熱反應、熱化學方程式、生成熱、燃燒熱、能量變化圖、反應熱與反應途徑無關、能量守恆定律,化學反應熱探討反應過程中的能量變化，主要關注反應物轉化為生成物時釋放或吸收的熱量。焓變 (ΔH) 代表反應系統內部能量的變化，依據ΔH的正負可區分放熱與吸熱反應。標準狀態下的反應熱 (ΔH°) 是在25°C、1 atm測得的熱量變化，常用於比較不同反應的能量變化。熱化學方程式則標示反應物、生成物及其能量變化，並與反應物的狀態有關。生成熱與燃燒熱為常見的反應熱類型，分別描述物質生成與燃燒時的熱量變化。此外，能量變化圖可視覺化反應前後的焓變，而反應熱的大小僅取決於初始與最終狀態，與反應途徑無關，這與能量守恆定律一致，即能量不滅，只會轉換形式。
,10,必修,3,溶液與反應,1,溶液的種類與特性,溶質與溶劑、溶液的分類、溶液的均勻性、氣態與固態溶液、膠體溶液、廷得耳效應、溶液導電性,本節探討溶液的種類與特性，首先介紹溶液的基本概念，包括溶質與溶劑的區分，並說明溶液可存在於固態、液態與氣態。例如，空氣是氣態溶液，黃銅與18K金則為固態溶液。溶液的均勻性是其關鍵特徵，與懸浮液或膠體不同。膠體中的分散質顆粒較大，能產生廷得耳效應，使光線散射。溶液的導電性則與其是否為電解質有關，電解質水溶液可導電，而非電解質水溶液則否。此外，溶液的物理性質如沸點、凝固點可隨組成變化而不同，並非固定值。最後，討論合金的性質，說明其為均勻混合的固態溶液，並與液態或氣態溶液的特性作比較。
