關卡編號,年級,冊數,章節編號,章節名稱,小節編號,小節名稱,知識點,關卡名稱,level_id
1,8,1,1,整數的運算,1,負數與數線,正負數定義與表示、數線與點座標、數的分類,負數與數線-1,1508
2,8,1,1,整數的運算,1,負數與數線,絕對值、相反數、數的大小比較,負數與數線-2,1509
3,8,1,1,整數的運算,2,整數的加減,整數加減運算、數線座標與距離,整數的加減-1,1510
4,8,1,1,整數的運算,2,整數的加減,絕對值性質與計算、相反數,整數的加減-2,1511
5,8,1,1,整數的運算,3,整數的乘除與四則運算,整數乘除運算、運算順序、運算性質,整數的乘除與四則運算-1,1512
6,8,1,1,整數的運算,3,整數的乘除與四則運算,絕對值、零的運算特性、應用問題,整數的乘除與四則運算-2,1513
7,8,1,1,整數的運算,4,指數記法與科學記號,指數概念與運算、科學記號表示與應用、整數混合運算,指數記法與科學記號,1514
8,8,1,1,整數的運算,0,章節總複習,章節所有知識點,整數的運算 （全）-1,1515
9,8,1,1,整數的運算,0,章節總複習,章節所有知識點,整數的運算 （全）-2,1516
10,8,1,2,分數的運算,1,因數與倍數,因數與倍數、倍數判別法、質數與合數,因數與倍數-1,1517
11,8,1,2,分數的運算,1,因數與倍數,質因數分解、數論應用,因數與倍數-2,1518
12,8,1,2,分數的運算,2,最大公因數與最小公倍數,最大公因數、最小公倍數、因數與倍數,最大公因數與最小公倍數-1,1519
13,8,1,2,分數的運算,2,最大公因數與最小公倍數,互質、公因數公倍數應用,最大公因數與最小公倍數-2,1520
14,8,1,2,分數的運算,3,分數的四則運算,分數四則運算、分數大小比較、分數表示與化簡,分數的四則運算-1,1521
15,8,1,2,分數的運算,3,分數的四則運算,倒數、分數應用問題,分數的四則運算-2,1522
16,8,1,2,分數的運算,3,分數的四則運算,數線、運算律,分數的四則運算-3,1523
17,8,1,2,分數的運算,4,指數律,指數與乘方定義、指數律、分數的混合運算,指數律-1,1524
18,8,1,2,分數的運算,4,指數律,數值大小比較、數字特性,指數律-2,1525
19,8,1,2,分數的運算,0,章節總複習,章節所有知識點,分數的運算 （全）-1,1526
20,8,1,2,分數的運算,0,章節總複習,章節所有知識點,分數的運算 （全）-2,1527
21,8,1,3,一元一次方程式,1,代數式的化簡,代數列式、代數式化簡、代數式求值,代數式的化簡,1528
22,8,1,3,一元一次方程式,2,一元一次方程式,一元一次方程式判斷、等量公理、文字敘述列式,一元一次方程式-1,1529
23,8,1,3,一元一次方程式,2,一元一次方程式,一元一次方程式求解、方程解的檢驗與關係,一元一次方程式-2,1530
24,8,1,3,一元一次方程式,3,應用問題,數量金錢問題、幾何圖形問題、行程問題,應用問題-1,1531
25,8,1,3,一元一次方程式,3,應用問題,濃度問題、年齡問題、分配問題,應用問題-2,1532
26,8,1,3,一元一次方程式,0,章節總複習,章節所有知識點,一元一次方程式 （全）-1,1533
27,8,1,3,一元一次方程式,0,章節總複習,章節所有知識點,一元一次方程式 （全）-2,1534
28,8,2,1,二元一次聯立方程式,1,二元一次方程式,代數式列式、代數式化簡與運算、代數式與方程式求值,二元一次方程式-1,1535
