關卡編號,年級,冊數,章節編號,章節名稱,小節編號,小節名稱,知識點,關卡名稱
1,8,第三冊,1,基本測量,1,實驗室安全,常用儀器、實驗安全,實驗室安全
2,8,第三冊,1,基本測量,2,長度體積的測量,測量紀錄、長度測量、體積測量,長度體積的測量
3,8,第三冊,1,基本測量,3,質量的測量,質量、天平、質量測量,質量的測量
4,8,第三冊,1,基本測量,4,密度的測量,密度、密度計算,密度的測量-1
5,8,第三冊,1,基本測量,4,密度的測量,沉浮關係、混合密度,密度的測量-2
6,8,第三冊,1,基本測量,0,章節總複習,章節所有知識點,基本測量 （全）-1
7,8,第三冊,1,基本測量,0,章節總複習,章節所有知識點,基本測量 （全）-2
8,8,第三冊,2,認識物質,1,認識物質,能量、物質分類、物理化學變化,認識物質-1
9,8,第三冊,2,認識物質,1,認識物質,物理性質、物質分離法,認識物質-2
10,8,第三冊,2,認識物質,2,溶液,溶液性質、溶液種類、濃度,溶液-1
11,8,第三冊,2,認識物質,2,溶液,飽和溶液、溶解度,溶液-2
12,8,第三冊,2,認識物質,3,空氣的組成與性質,空氣的組成、收集氣體方法,空氣的組成與性質-1
13,8,第三冊,2,認識物質,3,空氣的組成與性質,氧氣製備、二氧化碳製備,空氣的組成與性質-2
14,8,第三冊,2,認識物質,0,章節總複習,章節所有知識點,認識物質 （全）-1
15,8,第三冊,2,認識物質,0,章節總複習,章節所有知識點,認識物質 （全）-2
16,8,第三冊,3,波動與聲音,1,波的傳播,波的性質、波的種類,波的傳播-1
17,8,第三冊,3,波動與聲音,1,波的傳播,波的名詞、波的公式,波的傳播-2
18,8,第三冊,3,波動與聲音,2,聲音,聲波的構成、聲波的性質,聲音
19,8,第三冊,3,波動與聲音,3,回聲和超聲波,反射、回聲的性質,回聲和超聲波-1
20,8,第三冊,3,波動與聲音,3,回聲和超聲波,超聲波、聲波的應用,回聲和超聲波-2
21,8,第三冊,3,波動與聲音,4,聲音的變化,樂音、樂音三要素,聲音的變化-1
