ques_no,subject,chapter_name,section_name,question_text,matched_knowledge_point,status,reason
2NA0821992,生物,人、植物與環境的共存關係,植物對水土保持的重要性,"關於森林對生態環境的影響，下列敘述何者錯誤？(A)森林可淨化水質　(B)森林提供生物生存的空間　(C)砍伐森林對環境影響不大　(D)森林是生態系中的生產者之一。《答案》C",,no_knowledge_points,找不到相關知識點
2NA0821993,生物,人、植物與環境的共存關係,植物對水土保持的重要性,"植物與水土保持的關係，下列敘述何者錯誤？　(A)植物的根可抓住土壤　(B)植物的葉片可阻擋雨水直接沖刷土壤　(C)每一種植物對水土保持的作用都是相同的　(D)植物覆蓋越密集，水土保持的效果越好。《...",,no_knowledge_points,找不到相關知識點
2NA0821994,生物,人、植物與環境的共存關係,植物對水土保持的重要性,"下列何項行為較能減少山崩和土石流的發生機率？(A)集水區水質好，適合種植高經濟價值的農作物　(B)開發道路，使交通更方便　(C)開發森林成為遊樂區　(D)維持原生的森林生態。《答案》D",,no_knowledge_points,找不到相關知識點
2NA0821995,生物,人、植物與環境的共存關係,植物對水土保持的重要性,臺灣因山多平地少，可供人民耕種的平地良田不多，常開發山坡地進行經濟活動或提供額外的居住空間，但近年來常因過度開發山坡地引發土石流或山崩等災害。若今天你是農夫，農地正好是山坡地，選擇下列哪項植物來種植才...,,no_knowledge_points,找不到相關知識點
2NA0821996,生物,人、植物與環境的共存關係,植物對水土保持的重要性,"植物一直以來都是人類常使用的材料之一，日常生活中到處可見各種植物製品，下列有幾項產品可能和植物有關？ 甲.紙張  乙.家具  丙.建材  丁.碗盤　(A)1項　(B)2項　(C)3項　(D)4項。《...",,no_knowledge_points,找不到相關知識點
2NA0821997,生物,人、植物與環境的共存關係,植物調節環境的能力,"關於植物對環境溫度的調節，下列敘述何者錯誤？　(A)植物的蒸散作用可帶走環境中的熱　(B)人站在樹蔭下，感覺較涼快　(C)植物的根吸收了土壤中的水分，使地表更熱　(D)樹葉可遮陽，使地表降溫。《答案...",,no_knowledge_points,找不到相關知識點
2NA0821998,生物,人、植物與環境的共存關係,植物調節環境的能力,"下列敘述何者不符合「綠建築」的概念？　(A)可在建築物的牆面或屋頂種植植物　(B)增加冷、暖空調的使用　(C)垂藤植物可遮陽　(D)可降低室內溫度。《答案》B",,no_knowledge_points,找不到相關知識點
2NA0821999,生物,人、植物與環境的共存關係,植物調節環境的能力,"關於芬多精的敘述，下列何者錯誤？　(A)芬多精是由植物所散發出來的　(B)芬多精不能幫助植物抵抗黴菌和黴菌的寄生　(C)芬多精對於人體的免疫及神經系統都有益　(D)走入森林，有助人體健康。《答案》B",,no_knowledge_points,找不到相關知識點
2NA0822000,生物,人、植物與環境的共存關係,植物調節環境的能力,都市因大量水泥覆蓋，常出現熱島效應，使居住變不易，為因應這種現象，我們可多種植植物協助環境降溫，請問下列何者可能是植物能降低溫度的原理？　熱島效應：城市有密集的建築物與大量人工熱源，加上綠地面積較...,,no_knowledge_points,找不到相關知識點
2NA0822024,生物,人、植物與環境的共存關係,植物對水土保持的重要性,沛沛設計實驗驗證「植物與水土保持的關係」，實驗設計如附表所示：(　)(1)沛沛若選擇A、B組的實驗結果做比較，則他想要探討的問題是下列何者？(A)植被密度會影響水土保持嗎？　(B)植物的有無會影...,,no_knowledge_points,找不到相關知識點
