關卡編號,年級,冊數,章節編號,章節名稱,小節編號,小節名稱,知識點,關卡名稱,level_id
1,8,1,0,科學方法與進入實驗室,1,科學方法與進入實驗室,科學方法流程、實驗設計與變因,科學方法與進入實驗室-1,1673
2,8,1,0,科學方法與進入實驗室,1,科學方法與進入實驗室,實驗室安全、實驗器材操作,科學方法與進入實驗室-2,1674
3,8,1,0,科學方法與進入實驗室,0,章節總複習,章節所有知識點,科學方法與進入實驗室 （全）-1,1675
4,8,1,0,科學方法與進入實驗室,0,章節總複習,章節所有知識點,科學方法與進入實驗室 （全）-2,1676
5,8,1,1,生命的特性,1,生命現象,生命現象、生物生存條件、顯微鏡類型與構造,生命現象-1,1677
6,8,1,1,生命的特性,1,生命現象,顯微鏡操作與成像原理、細胞學說,生命現象-2,1678
7,8,1,1,生命的特性,2,細胞,細胞構造、細胞功能、動植物細胞差異,細胞-1,1679
8,8,1,1,生命的特性,2,細胞,細胞類型、細胞觀察,細胞-2,1680
9,8,1,1,生命的特性,3,細胞所需的物質,擴散作用、滲透作用、細胞膜特性,細胞所需的物質-1,1681
10,8,1,1,生命的特性,3,細胞所需的物質,細胞壁作用、細胞在溶液中的反應,細胞所需的物質-2,1682
11,8,1,1,生命的特性,4,從細胞到個體,顯微鏡操作與觀察、單細胞與多細胞生物特性、生物體組成層次與器官系統,從細胞到個體,1683
12,8,1,1,生命的特性,0,章節總複習,章節所有知識點,生命的特性 （全）-1,1684
13,8,1,1,生命的特性,0,章節總複習,章節所有知識點,生命的特性 （全）-2,1685
14,8,1,2,養分,1,食物中的養分,食物熱量計算、三大產能營養素、非產能營養素,食物中的養分-1,1686
15,8,1,2,養分,1,食物中的養分,營養素檢測、營養素功能與缺乏症,食物中的養分-2,1687
16,8,1,2,養分,2,酵素,酵素、酵素活性影響因子,酵素-1,1688
17,8,1,2,養分,2,酵素,代謝作用、物質檢測,酵素-2,1689
18,8,1,2,養分,3,植物如何獲得養分,光合作用、葉片構造與功能,植物如何獲得養分-1,1690
19,8,1,2,養分,3,植物如何獲得養分,光合作用實驗、植物養分製造與儲存,植物如何獲得養分-2,1691
