num,year_grade,book,chapter_num,chapter_name,section_num,section_name,knowledge_points,section_summary
1,7,第一冊,1,史前臺灣與原住民文化,1,考古發掘與史前文化,考古發掘、史前文化,本節主要探討臺灣地區在史前時代的人類活動與文化。透過考古學上的發掘，我們能夠了解史前文化的發展與特色。考古發掘提供了重要的實物證據，如陶器、石器和骨器，這些遺物幫助重建過去人們的生活方式與社會組織。臺灣的史前文化顯示出不同時期的人群已經開始定居並從事農耕、漁獵等活動。此外，這些文化遺址也顯示出各地區之間的文化交流與互動，以及後來原住民文化的逐漸形成。本節內容幫助理解臺灣早期人類社會的發展過程與文化多樣性。
2,7,第一冊,1,史前臺灣與原住民文化,2,臺灣原住民的遷徙與傳說,遷徙路線、神話傳說,本節探討臺灣原住民族群的起源與遷徙，透過考古學與民族誌資料，我們可以了解這些原住民遷徙的路線與原因，以及他們如何從鄰近地區來到臺灣並在這裡定居。不同的族群擁有各自的神話傳說，這些故事不僅反映了族群的起源觀，也提供了對其文化價值觀的深刻洞見。此外，這些傳說還涉及自然界的解釋，天象的觀察以及祖先崇拜等重要文化元素。有些傳說更形塑了族群的歷史與宗教信仰，成為集體記憶的重要部分，進一步加強了族群的內部認同感和文化傳承。
3,7,第一冊,2,大航海時代各方勢力的競逐,1,大航海時代的到來,哥倫布發現新大陸、麥哲倫環球航行,本節介紹了15至17世紀之間，歐洲各國在大航海時代中的重要航海事件及其背景。以哥倫布發現新大陸和麥哲倫的環球航行為重心，探討不同國家如西班牙和葡萄牙在這股航海熱潮中的積極角色，並分析這些航行的動機，包括對貿易路線的探索、對黃金及香料的追求，以及傳播基督教的野心。此外，介紹技術上的進步如羅盤及航海地圖的普及如何為航海事業鋪平道路。這一時期的航海活動不僅改變了世界地理知識，也帶來了經濟和文化交流的可能性。
4,7,第一冊,2,大航海時代各方勢力的競逐,2,各方勢力在臺灣的競逐,大航海時代、臺灣競爭,本節介紹了大航海時代背景下，各國勢力紛紛將目光投向臺灣，主要涉及西班牙、荷蘭與後來的鄭成功勢力在臺灣的競逐過程。首先，荷蘭人因商業利益在此建立殖民地，並進行經濟貿易活動，成為當時的重要海外據點。西班牙隨後因宗教和經濟原因，也嘗試在臺灣建立據點，然而並未持續對峙成功。後期，鄭成功經歷南明的艱難局勢，為復興明朝之名，占領臺灣，開始新一輪的治理與貿易政策。這一時期的臺灣成為各方殖民勢力彰顯力量與利益競爭的熱點，也為臺灣的多元文化奠定了基礎。
5,7,第一冊,3,大航海時代臺灣原住民與外來者,1,歐洲人與原住民,探險動機、文化交流,本節介紹了歐洲人在大航海時代進入台灣的背景及其與原住民之間的互動。當時的歐洲國家為了尋找新的貿易航路和資源，積極進行海外探險和殖民。這些探險活動不僅帶來了經濟上的利益，也促成了不同文化之間的接觸與交流。歐洲人的到來對台灣原住民的生活、經濟及文化產生了深遠的影響，原住民與歐洲人進行了商品交易，文化也因此發生變化和融合。此外，歐洲人留下的歷史記錄提供了對當時台灣社會狀況的寶貴資訊，為我們了解原住民的生活和歐洲人對台灣影響的歷史提供了參考。
6,7,第一冊,3,大航海時代臺灣原住民與外來者,2,鄭氏政權與原住民,鄭氏政權的形成與影響、原住民的社會變遷,本節探討了鄭氏政權在臺灣的形成及其對原住民的影響。首先，鄭成功率領明鄭勢力來臺後，建立了鄭氏政權，確立其在臺的政治統治地位。這一政權不僅抵禦了外敵，還推動了與原住民的交流與互動。隨著土地開發和經濟活動的增多，原住民的社會結構與生活方式也發生了顯著的改變。在此背景下，鄭氏政權積極推行文化及經濟整合政策，以促進旗下各族群的穩定和諧發展。這段歷史不僅揭示了殖民與統治的複雜性，也強調了各族群在面對變遷時的適應能力。
7,7,第一冊,4,清帝國統治政策的變遷,1,清初治臺政策與措施,渡台禁令、招撫措施,清初統治臺灣的政策與措施是因應當時的局勢而制定，主要以維護社會穩定與有效管治為核心。渡台禁令是清初政府為有效控制人口移動及維持社會秩序而設立的政策，通過限制福建、廣東等地人民渡台，旨在防止過多人口湧入而引發社會問題。同時，清政府也實施了一系列的招撫措施，試圖藉由安撫當地原住民及荷蘭、明鄭留下的勢力，以促進當地的和平與穩定。這些政策與措施的制定及其影響，反映出清政府對臺灣地區的高度重視與治理挑戰。
8,7,第一冊,4,清帝國統治政策的變遷,2,外力入侵與現代化建設,列強侵略、現代化改革,本節介紹清帝國在外力入侵下所面臨的一系列挑戰及其改革舉措。隨著西方列強的侵略，清政府不得不應對各種軍事壓力和不平等條約帶來的影響，這顯著地動搖了其傳統的治理模式。面對內憂外患，清朝展開了一系列自強運動，試圖引進西方先進技術和制度，以強化國力和抵禦外敵。這些改革措施，儘管在一定程度上提升了國家的現代化水平，但最終未能從根本上解決國家所面臨的問題，為後來的革命運動埋下了伏筆。全節深入探討了清帝國應對外部壓力的政策演變及其歷史影響。
9,7,第一冊,5,清帝國時期農商業的發展,1,農業發展,水利建設、農業技術改進,清帝國時期，農業發展得到了顯著的推動，原因在於水利建設和農業技術改進的雙重促進。清政府大力支持治理河川，修築水利工程以確保農田水源供應，這在提高糧食產量和抗旱能力上發揮了重要作用。此外，農業技術的提升，如引進高產農作物種子和改善耕作方法，也有效地增加了農業生產效率。這些措施不僅促進了人口增長的需求，也在一定程度上穩定了社會結構，提升了經濟實力，為後期的社會變革奠定了基礎。
10,7,第一冊,5,清帝國時期農商業的發展,2,商業活動,商業貿易的繁榮、店鋪類型的多樣化,在清帝國時期，商業活動的空前繁榮成為經濟發展的重要引擎。由於農業生產的提高，社會生產力增強，使得商品流通日益頻繁，商業貿易的繁榮程度達到了一個新的高峰。隨著京杭大運河和其他主要水道的暢通，從南到北的物流更為便捷，各地區之間的商品交流得以迅速發展。此外，這一時期商業中心城市迅速崛起，形成了以北京、江南、武漢為代表的貿易重鎮。當時的商鋪類型十分多樣，包括綜合性的商業街市、專業性的行業店鋪等，不僅滿足了人們的生活需求，還促進了不同地區文化和技術的交流與融合。
