num,year_grade,book,chapter_num,chapter_name,section_num,section_name,knowledge_spots,section_summary
1,8,第三冊,1,基本測量,1,實驗室安全,常用儀器、實驗安全,使用試管需夾住並傾斜加熱，量筒不可加熱，燒杯加熱須隔陶瓷纖維網，蒸發皿需放置其上加熱。酒精燈點燃須用火柴或點火槍，不可用嘴吹熄，溢出時用濕抹布蓋滅。加熱試管口不可對人，混合液體用玻棒攪拌。強酸稀釋時應將濃硫酸慢慢倒入水中並攪拌。實驗後廢液倒入廢液處理筒，玻璃儀器不得甩乾，以免破裂。要攪拌溶液的工具不能用溫度計。從瓶中取出化學藥品粉末，不能利用坩堝鉗。清洗試管內部，不能用刮勺。不慎被氫氧化鈉水溶液沾到身體時，不能以稀酸中和。不能直接在量筒內配製溶液。不能直接在量筒內進行化學反應。
2,8,第三冊,1,基本測量,2,長度體積的測量,測量紀錄、長度測量、體積測量,測量結果數字+單位。測量須使用標準單位，如公分、公尺。誤差來自 刻度、儀器、操作，可透過 多次測量取平均 降低誤差。液體測量時 凹液面取最低點，凸液面取最高點。測量技巧包含 排水法（適用沉體）。選擇適當單位可減少誤差，測量結果包含 準確值+估計值。完整的測量結果須包含整數部分和小數部分。凡測量免不了作估計，因此必有誤差。測量值應該準確到測量儀器的最小刻度下一位。測量工具的單位大小須選擇適當的，例如用刮勺來測量浴缸的水量是不適當的。測量結果的數字部分中，估計數字只能有一位，但不可能是 0。
3,8,第三冊,1,基本測量,3,質量的測量,質量、天平、質量測量,質量是物體所含物質的多少，標準單位為 公斤（kg），1kg = 1000g，1g = 1000mg。質量可用 天平測量，不隨地點改變，但無重力時（如太空）無法使用天平。測量時需 歸零，物體放左盤，砝碼放右盤，先大後小，調整 騎碼 使指針歸中。任何有 引力 的地方可測量質量，真空中亦可測，但太空失重時需其他方法測量。測量前發現天平指針偏右，想要歸零時，應調整校準螺絲
4,8,第三冊,1,基本測量,4,密度的測量,密度、密度計算、沉浮關係、混合密度,密度是 質量與體積的比值，公式 D = M / V，單位為 g/cm³ 或 kg/m³，1g/cm³ = 1000kg/m³。密度是 物理性質，不受質量與體積影響。質量與體積正比，密度與體積反比。混合物密度介於兩者之間。水在 4℃時密度最大會熱漲冷漲，其餘物質接熱漲冷縮。密度定義：單位體積內含物質的多少。同物質：密度不變，M ∝ V（質量與體積成正比）。異物質：密度不同，D 大則 M 同時大。浮沉關係：D 物 > D 液 → 下沉，D 物 < D 液 → 上浮，D 物 = D 液 → 懸浮
5,8,第三冊,2,認識物質,1,認識物質,能量、物質分類、物理化學變化、物理性質、物質分離法,能量類型包括 動能、電能、熱能、核能、位能、光能、化學能，可互相轉換。物質具有 質量與體積，分為 固態（固定形狀）、液態（固定體積）、氣態（無固定形狀）。物質分類可分為 純物質（元素、化合物） 和 混合物，純物質性質固定，混合物可任意比例混合。物質變化分為物理變化與化學變化。物理變化 不產生新物質（如溶解、狀態改變），化學變化 產生新物質（如燃燒、氧化）。物質性質分為 物理性質（顏色、密度、導電性） 和 化學性質（可燃性、腐蝕性）。混合物可用 過濾、蒸餾、結晶、層析 等方式分離。
6,8,第三冊,2,認識物質,2,溶液,溶液性質、溶液種類、濃度、飽和溶液、溶解度,溶液 是 均勻混合物，包含 溶質和 溶劑。水可溶解 固體、液體、氣體，但某些物質需 非水溶劑（如丙酮） 來溶解。溶液為 物理變化，可用 蒸餾、結晶等方法分離，且無固定熔點或沸點。溶液種類 包括 固態、液態、氣態。濃度 可用 體積百分率（如酒精濃度 45%） 或 重量百分率 來表示。飽和溶液 是指溶解達到極限。溶解度定義為每一百克戎既可溶解幾克的溶質， 受 溫度、壓力 影響，高溫增加固體溶解度，低溫增加氣體溶解度。壓力大時氣體溶解度上升，壓力小時氣體溶解度下降。
7,8,第三冊,2,認識物質,3,空氣的組成與性質,空氣的組成、收集氣體方法、氧氣製備、二氧化碳製備,空氣是 混合物，主要成分為 氮氣 (78%) 和 氧氣 (21%)，還含有其他氣體。氮氣 無色無臭，穩定性高，可用於 食品保鮮、燈泡填充。氧氣 有助燃性，供 生物呼吸與燃燒。二氧化碳 可滅火，檢驗方法為 澄清石灰水變白。氣體可用 排水集氣法、向上排氣法、向下排氣法 收集。氧氣可由雙氧水分解製備，二氧化碳可由鹽酸與大理石反應製備。
8,8,第三冊,3,波動與聲音,1,波的傳播,波的性質、波的種類、波的名詞、波的公式,波動是 能量傳遞的現象，但介質本身不會隨波移動。力學波 需介質，如 水波、聲波；非力學波 不需介質，如 光波、電波。橫波 振動方向與波前進方向垂直（如繩波），縱波 則平行（如聲波）。波的特性包含 波峰、波谷、波長、振幅、週期、頻率、波速，波速公式：v = fλ（波速 = 頻率 × 波長）。振幅越大能量越高，頻率越高波長越短。
9,8,第三冊,3,波動與聲音,2,聲音,聲波的構成、聲波的性質,聲音由 振動產生，需 介質（固體、液體、氣體） 傳播，為 縱波。固體傳聲最快，氣體最慢，在真空中無法傳播。聲音速率受 溫度、溼度、風速 影響，溫度越高傳聲越快。波以耳電鈴實驗 證明聲音需介質傳播，當空氣被抽出成真空，聲音消失。聲音高低與傳播速率無關，水中也能傳聲，水上芭蕾選手可聽音樂起舞。
10,8,第三冊,3,波動與聲音,3,回聲和超聲波,反射、回聲的性質、超聲波、聲波的應用,聲波遇障礙物會反射，遵守 反射定律（入射角=反射角），名詞：法線、入射線、反射線、入射角是入射線和法線的夾角、反射角，振幅減小但頻率不變。回聲 是反射回來的聲音，應用於 聲納、倒車雷達，但過多回聲會導致聲音混雜，可用 吸音板、傾斜天花板 減少干擾。超聲波（>20000Hz） 可探測 海底、潛水艇、醫學檢測，蝙蝠和狗能感知超聲波。超聲波具 高頻率、短波長、方向性強，可穿透物質並用於 清潔、探測與診斷。
11,8,第三冊,3,波動與聲音,4,聲音的變化,樂音、樂音三要素、樂器、聲波的共振,樂音 是樂器規律振動產生的聲音，分為 管樂、弦樂、打擊樂。聲音三要素：響度（振幅決定，單位為分貝）、音調（頻率決定，單位為 Hz）、音色（波形決定）。弦樂器 弦越細、短、緊，音調越高；管樂器 管越短，音調越高。共振 發生於頻率相同物體，可增強聲音響度，如樂器共振箱、耳膜振動。
12,8,第三冊,4,光學,1,光的直線前進,光的特性、光的傳播、直進性、針孔成像、光速,光是 電磁波，可在 真空中傳播，速率為 3×10⁸ m/s，比聲速快。光在 真空 > 氣體 > 液體 > 固體，進入密度較高介質時速率變慢。光沿 直線傳播，遇障礙物會形成 影子，應用於 日晷、日蝕、月蝕。針孔成像 上下顛倒、左右相反的實像，針孔越小影像越清晰。雷聲比閃電慢，是光速快於聲速的例證。可逆性
13,8,第三冊,4,光學,2,反射與面鏡,反射定律、平面鏡的成像、凹面鏡、凸面鏡,光遇介面改變方向稱 反射，遵守 反射定律（入射角=反射角）。單向反射 發生於光滑面，如 平面鏡，漫射 使物體可見。平面鏡成像為正立、等大、左右相反的虛像，且物距=像距。凹面鏡 聚光，可形成實像或虛像，應用於 探照燈、太陽爐。凸面鏡 發散光，僅形成縮小正立虛像，應用於 後照鏡、轉彎反光鏡。面鏡利用反射，透鏡則利用折射原理成像。
14,8,第三冊,4,光學,3,折射與透鏡,光速的變化、折射定律、凸透鏡、凹透鏡,魚看鳥變高，鳥看魚變淺。光進入不同介質時速率改變，導致 折射。光在 真空 > 氣體 > 液體 > 固體，速度快 → 慢時折射線 向法線偏折，反之則 遠離法線。常見現象如 水中筷子變折、海市蜃樓。光頻率不變，僅波長改變。透鏡分為凸透鏡（會聚）與凹透鏡（發散）。凸透鏡 可形成 實像或虛像，應用於 放大鏡、眼鏡、投影機。凹透鏡 只能產生 縮小正立虛像，應用於 近視眼鏡。實像倒立、虛像正立，成像特性取決於物體距離焦點的位置。
15,8,第三冊,4,光學,4,光學儀器,放大鏡成像、顯微鏡成像、相機成像、眼睛成像,放大鏡 是 凸透鏡，物體在焦點內形成 放大、正立、虛像。顯微鏡 利用 物鏡與目鏡的兩次折射，產生 放大、倒立、虛像。照相機 以 凸透鏡成縮小、倒立實像，透過調整鏡頭焦距對焦。眼睛 以 水晶體（凸透鏡） 成像於視網膜。近視因焦距過短（眼球過長），配戴凹透鏡矯正；遠視因焦距過長（眼球過短），配戴凸透鏡矯正。
16,8,第三冊,4,光學,5,光與顏色,光的色散、光的三原色、物體顏色、紅外光與紫外光,光的色散：牛頓發現陽光經 三稜鏡 會分成 紅、橙、黃、綠、藍、靛、紫，因為各色光在介質中速率不同，紅光波長最長、折射最小。光的三原色 為 紅、綠、藍，混合可形成白光。透明物體顏色取決於 透過的光，不透明物體則取決於 反射的光。紅外線 可用於 夜視、保溫，紫外線 可 殺菌、促進維生素 D 生成，但過量曝曬會傷害皮膚。
17,8,第三冊,5,熱學,1,溫度與溫度計,溫度計種類、測量原理、溫標、測量範圍,溫度 代表物體的 冷熱程度，可用 液體（膨脹）、氣體（體積變化） 測量。水銀溫度計 適用 高溫（-37℃～357℃），酒精溫度計 適用 低溫（-111℃～78℃）可加入染料觀測。額溫槍、耳溫槍：檢測紅外線輻射測溫。攝氏溫標 以 冰點 0℃、沸點 100℃，華氏溫標以 32℉、212℉ 為基準。體溫計底部狹窄設計可防止水銀回流。氣體溫度計靈敏度最高，水不適合作溫度計液體。轉換公式：C = 5/9(F - 32)，F = 9/5C + 32。
18,8,第三冊,5,熱學,2,熱量與比熱,熱量、熱平衡、比熱、單位換算,熱是能量並非物質，熱量是能量轉移的量，物體吸熱溫度上升，放熱溫度下降。熱量單位有卡、Kcal、焦耳，1卡=4.18J。熱平衡是溫度由高傳低直到相同。比熱是使1克物質升1°C所需熱量，水比熱最大，金屬比熱小。比熱大，溫度難變；比熱小，溫度易變。熱量計算公式H＝S×M×△T。兩物混合，平衡溫度介於兩者間。海水比熱大，沿海氣溫穩定，沙子比熱小，白天沙灘熱、晚上冷。工廠與汽車用水冷卻因其比熱大，吸熱能力強。
19,8,第三冊,5,熱學,3,熱的傳播方式,傳導、對流、輻射、生活應用,傳導：熱量透過接觸傳遞，主要發生在固體，如金屬導熱快、木頭導熱慢。對流：流體（氣體或液體）因密度變化產生流動，如暖空氣上升、冷空氣下降。輻射：熱能不需介質即可傳播，如太陽輻射加熱地球，深色物體吸熱較快。應用：鍋具導熱、保溫瓶阻擋熱流、白色建築減少吸熱。
