關卡編號,年級,冊數,章節編號,章節名稱,小節編號,小節名稱,知識點,關卡名稱,level_id
1,10,必修,1,物質的組成與形成,1,物質的分類與分離方法,物質性質與分類、蒸餾法、層析法,物質的分類與分離方法-1,2335
2,10,必修,1,物質的組成與形成,1,物質的分類與分離方法,萃取法、過濾法、傾析法,物質的分類與分離方法-2,2336
3,10,必修,1,物質的組成與形成,2,物質的狀態與相圖,三相圖、相變化,物質的狀態與相圖-1,2337
4,10,必修,1,物質的組成與形成,2,物質的狀態與相圖,三相點與臨界點、壓力影響、物質分離方法,物質的狀態與相圖-2,2338
5,10,必修,1,物質的組成與形成,3,原子與分子,化學基本定律、道耳頓原子說、氣體定律,原子與分子-1,2339
6,10,必修,1,物質的組成與形成,3,原子與分子,化學計量、原子分子概念,原子與分子-2,2340
7,10,必修,1,物質的組成與形成,4,原子結構與週期表,原子組成與性質、原子模型發展、電子能階與組態,原子結構與週期表-1,2341
8,10,必修,1,物質的組成與形成,4,原子結構與週期表,同位素與平均原子量、週期表分類與性質規律、核反應與放射性,原子結構與週期表-2,2342
9,10,必修,1,物質的組成與形成,5,化學鍵,化學鍵類型、物質結構與性質、電解質與導電性,化學鍵-1,2343
10,10,必修,1,物質的組成與形成,5,化學鍵,原子結構與鍵結原理、同素異形體與化合物分類,化學鍵-2,2344
11,10,必修,1,物質的組成與形成,0,章節總複習,章節所有知識點,物質的組成與形成 （全）-1,2345
12,10,必修,1,物質的組成與形成,0,章節總複習,章節所有知識點,物質的組成與形成 （全）-2,2346
13,10,必修,2,物質間的反應,1,化學式,化學式種類與表示法、化學式推算、元素百分組成,化學式-1,2347
14,10,必修,2,物質間的反應,1,化學式,同分異構物、同素異形體、官能基,化學式-2,2348
15,10,必修,2,物質間的反應,2,化平衡化學反應式,化學反應式平衡、化學計量,化平衡化學反應式-1,2349
16,10,必修,2,物質間的反應,2,化平衡化學反應式,分子式與實驗式,化平衡化學反應式-2,2350
17,10,必修,2,物質間的反應,3,莫耳的概念與化學計劃,莫耳概念與質量轉換、化學反應方程式、化學計量計算,莫耳的概念與化學計劃-1,2351
18,10,必修,2,物質間的反應,3,莫耳的概念與化學計劃,氣體反應與性質、化合物分子式與元素組成,莫耳的概念與化學計劃-2,2352
19,10,必修,2,物質間的反應,4,化學反應熱,反應熱類型、熱化學方程式、能量圖,化學反應熱-1,2353
20,10,必修,2,物質間的反應,4,化學反應熱,反應熱影響因素、能量轉換與守恆、反應熱實驗測定,化學反應熱-2,2354
21,10,必修,2,物質間的反應,0,章節總複習,章節所有知識點,物質間的反應 （全）-1,2355
22,10,必修,2,物質間的反應,0,章節總複習,章節所有知識點,物質間的反應 （全）-2,2356
23,10,必修,3,水溶液中的反應,1,溶液中的種類與特性,溶液基本概念、溶液分類與實例,溶液中的種類與特性-1,2357
24,10,必修,3,水溶液中的反應,1,溶液中的種類與特性,膠體溶液特性、溶液濃度與溶解度,溶液中的種類與特性-2,2358
25,10,必修,3,水溶液中的反應,2,水溶液的濃度,溶液濃度定義與單位、溶液濃度計算與換算、溶液稀釋與混合計算,水溶液的濃度-1,2359
26,10,必修,3,水溶液中的反應,2,水溶液的濃度,溶液配製方法與儀器、溶液性質與分類,水溶液的濃度-2,2360
