關卡編號,年級,冊數,章節編號,章節名稱,小節編號,小節名稱,知識點,關卡名稱,level_id
1,7,第一冊,1,認識位置與地圖,1,如何表示位置,座標系統、方位辨識,如何表示位置,810
2,7,第一冊,1,認識位置與地圖,2,經緯線網格,經線、緯線,經緯線網格,811
3,7,第一冊,1,認識位置與地圖,3,位置與生活的關聯,位置概念、地圖應用,位置與生活的關聯,812
4,7,第一冊,1,認識位置與地圖,4,如何閱讀地圖,比例尺、方位,如何閱讀地圖,813
5,7,第一冊,1,認識位置與地圖,0,章節總複習,章節所有知識點,認識位置與地圖 （全）-1,814
6,7,第一冊,1,認識位置與地圖,0,章節總複習,章節所有知識點,認識位置與地圖 （全）-2,815
7,7,第一冊,2,世界中的臺灣,1,全球海陸分布,地球表面构成、海洋和陆地的比例,全球海陸分布,816
8,7,第一冊,2,世界中的臺灣,2,臺灣的位置及其影響,位置的相對性、地緣政治,臺灣的位置及其影響,817
9,7,第一冊,2,世界中的臺灣,3,臺灣地區的範圍,臺灣四周環島、東北亞與東南亞交界,臺灣地區的範圍,818
10,7,第一冊,2,世界中的臺灣,0,章節總複習,章節所有知識點,世界中的臺灣 （全）-1,819
11,7,第一冊,2,世界中的臺灣,0,章節總複習,章節所有知識點,世界中的臺灣 （全）-2,820
12,7,第一冊,3,地形,1,地形如何被形塑,風化作用、水的侵蝕作用,地形如何被形塑,821
13,7,第一冊,3,地形,2,常見的地形表示方法,等高線、剖面圖,常見的地形表示方法,822
14,7,第一冊,3,地形,3,臺灣地形的特徵與分布,山地與丘陵、平原與盆地,臺灣地形的特徵與分布,823
15,7,第一冊,3,地形,0,章節總複習,章節所有知識點,地形 （全）-1,824
16,7,第一冊,3,地形,0,章節總複習,章節所有知識點,地形 （全）-2,825
17,7,第一冊,4,海岸與島嶼,1,海岸的類型與特色,海岸侵蝕、海岸沉積,海岸的類型與特色,826
18,7,第一冊,4,海岸與島嶼,2,臺灣的海岸與利用,海岸地形、海岸環境保護,臺灣的海岸與利用,827
19,7,第一冊,4,海岸與島嶼,3,臺灣離島的成因,火山活動、珊瑚礁的形成,臺灣離島的成因,828
20,7,第一冊,4,海岸與島嶼,0,章節總複習,章節所有知識點,海岸與島嶼 （全）-1,829
21,7,第一冊,4,海岸與島嶼,0,章節總複習,章節所有知識點,海岸與島嶼 （全）-2,830
22,7,第一冊,5,天氣與氣候,1,臺灣的天氣,東北季風、西南季風,臺灣的天氣,831
23,7,第一冊,5,天氣與氣候,2,臺灣的氣候,季風特性、颱風影響,臺灣的氣候,832
24,7,第一冊,5,天氣與氣候,3,臺灣的氣候特徵,季風氣候、颱風影響,臺灣的氣候特徵,833
25,7,第一冊,5,天氣與氣候,4,臺灣的氣象災害,颱風、地震,臺灣的氣象災害,834
26,7,第一冊,5,天氣與氣候,0,章節總複習,章節所有知識點,天氣與氣候 （全）-1,835
27,7,第一冊,5,天氣與氣候,0,章節總複習,章節所有知識點,天氣與氣候 （全）-2,836
28,7,第一冊,6,水文,1,水循環,降水蒸發滲透、地表水和地下水之間的轉換,水循環,837
29,7,第一冊,6,水文,2,水系與流域,水系特徵、流域組成,水系與流域,838
30,7,第一冊,6,水文,3,臺灣河川的特色,河川豐沛、流量變化大,臺灣河川的特色,839
31,7,第一冊,6,水文,4,臺灣水資源利用與保育,合理分配水資源、水資源保育措施,臺灣水資源利用與保育,840
32,7,第一冊,6,水文,0,章節總複習,章節所有知識點,水文 （全）-1,841
33,7,第一冊,6,水文,0,章節總複習,章節所有知識點,水文 （全）-2,842
34,7,第二冊,1,臺灣的人口成長與分布,1,臺灣的人口數量有何變化？,人口增長率、人口密度,臺灣的人口數量有何變化？,843
35,7,第二冊,1,臺灣的人口成長與分布,2,臺灣的人口主要分布在哪裡？,人口密度差異、都市化現象,臺灣的人口主要分布在哪裡？,844
36,7,第二冊,1,臺灣的人口成長與分布,3,人們為什麼要遷移？,人口流動、遷移原因,人們為什麼要遷移？,845
37,7,第二冊,1,臺灣的人口成長與分布,0,章節總複習,章節所有知識點,臺灣的人口成長與分布 （全）-1,846
38,7,第二冊,1,臺灣的人口成長與分布,0,章節總複習,章節所有知識點,臺灣的人口成長與分布 （全）-2,847
39,7,第二冊,2,"臺灣的人口組成與族群文
化",1,人口組成是什麼？,族群與文化、人口結構,人口組成是什麼？,848
40,7,第二冊,2,"臺灣的人口組成與族群文
化",2,臺灣有哪些人口問題？,人口結構老化、人口密度高,臺灣有哪些人口問題？,849
41,7,第二冊,2,"臺灣的人口組成與族群文
化",3,臺灣的多元族群形成哪些文化特色？,族群多樣性、文化融合,臺灣的多元族群形成哪些文化特色？,850
42,7,第二冊,2,"臺灣的人口組成與族群文
化",0,章節總複習,章節所有知識點,"臺灣的人口組成與族群文
化 （全）-1",851
