關卡編號,年級,冊數,章節編號,章節名稱,小節編號,小節名稱,知識點,關卡名稱,level_id
1,8,第三冊,1,基本測量,1,實驗室安全,常用儀器、實驗安全,實驗室安全,142
2,8,第三冊,1,基本測量,2,長度體積的測量,測量紀錄、長度測量、體積測量,長度體積的測量,143
3,8,第三冊,1,基本測量,3,質量的測量,質量、天平、質量測量,質量的測量,144
4,8,第三冊,1,基本測量,4,密度的測量,密度、密度計算,密度的測量-1,145
5,8,第三冊,1,基本測量,4,密度的測量,沉浮關係、混合密度,密度的測量-2,146
6,8,第三冊,1,基本測量,0,章節總複習,章節所有知識點,基本測量 （全）-1,147
7,8,第三冊,1,基本測量,0,章節總複習,章節所有知識點,基本測量 （全）-2,148
8,8,第三冊,2,認識物質,1,認識物質,能量、物質分類、物理化學變化,認識物質-1,149
9,8,第三冊,2,認識物質,1,認識物質,物理性質、物質分離法,認識物質-2,150
10,8,第三冊,2,認識物質,2,溶液,溶液性質、溶液種類、濃度,溶液-1,151
11,8,第三冊,2,認識物質,2,溶液,飽和溶液、溶解度,溶液-2,152
12,8,第三冊,2,認識物質,3,空氣的組成與性質,空氣的組成、收集氣體方法,空氣的組成與性質-1,153
13,8,第三冊,2,認識物質,3,空氣的組成與性質,氧氣製備、二氧化碳製備,空氣的組成與性質-2,154
14,8,第三冊,2,認識物質,0,章節總複習,章節所有知識點,認識物質 （全）-1,155
15,8,第三冊,2,認識物質,0,章節總複習,章節所有知識點,認識物質 （全）-2,156
16,8,第三冊,3,波動與聲音,1,波的傳播,波的性質、波的種類,波的傳播-1,157
17,8,第三冊,3,波動與聲音,1,波的傳播,波的名詞、波的公式,波的傳播-2,158
18,8,第三冊,3,波動與聲音,2,聲音,聲波的構成、聲波的性質,聲音,159
19,8,第三冊,3,波動與聲音,3,回聲和超聲波,反射、回聲的性質,回聲和超聲波-1,160
20,8,第三冊,3,波動與聲音,3,回聲和超聲波,超聲波、聲波的應用,回聲和超聲波-2,161
21,8,第三冊,3,波動與聲音,4,聲音的變化,樂音、樂音三要素,聲音的變化-1,162
22,8,第三冊,3,波動與聲音,4,聲音的變化,樂器、聲波的共振,聲音的變化-2,163
23,8,第三冊,3,波動與聲音,0,章節總複習,章節所有知識點,波動與聲音 （全）-1,164
24,8,第三冊,3,波動與聲音,0,章節總複習,章節所有知識點,波動與聲音 （全）-2,165
25,8,第三冊,4,光學,1,光的直線前進,光的特性、光的傳播、直進性,光的直線前進-1,166
26,8,第三冊,4,光學,1,光的直線前進,針孔成像、光速,光的直線前進-2,167
27,8,第三冊,4,光學,2,反射與面鏡,反射定律、平面鏡的成像,反射與面鏡-1,168
28,8,第三冊,4,光學,2,反射與面鏡,凹面鏡、凸面鏡,反射與面鏡-2,169
29,8,第三冊,4,光學,3,折射與透鏡,光速的變化、折射定律,折射與透鏡-1,170
30,8,第三冊,4,光學,3,折射與透鏡,凸透鏡、凹透鏡,折射與透鏡-2,171
31,8,第三冊,4,光學,4,光學儀器,放大鏡成像、顯微鏡成像,光學儀器-1,172
32,8,第三冊,4,光學,4,光學儀器,相機成像、眼睛成像,光學儀器-2,173
33,8,第三冊,4,光學,5,光與顏色,光的色散、光的三原色,光與顏色-1,174
34,8,第三冊,4,光學,5,光與顏色,物體顏色、紅外光與紫外光,光與顏色-2,175
35,8,第三冊,4,光學,0,章節總複習,章節所有知識點,光學 （全）-1,176
36,8,第三冊,4,光學,0,章節總複習,章節所有知識點,光學 （全）-2,177
37,8,第三冊,5,熱學,1,溫度與溫度計,溫度計種類、測量原理,溫度與溫度計-1,178
38,8,第三冊,5,熱學,1,溫度與溫度計,溫標、測量範圍,溫度與溫度計-2,179
39,8,第三冊,5,熱學,2,熱量與比熱,熱量、熱平衡,熱量與比熱-1,180
40,8,第三冊,5,熱學,2,熱量與比熱,比熱、單位換算,熱量與比熱-2,181
41,8,第三冊,5,熱學,3,熱的傳播方式,傳導、對流,熱的傳播方式-1,182
42,8,第三冊,5,熱學,3,熱的傳播方式,輻射、生活應用,熱的傳播方式-2,183
43,8,第三冊,5,熱學,4,熱對物質的影響,物理變化、化學變化,熱對物質的影響-1,184
44,8,第三冊,5,熱學,4,熱對物質的影響,熱脹冷縮、水的特殊現象,熱對物質的影響-2,185
45,8,第三冊,5,熱學,0,章節總複習,章節所有知識點,熱學 （全）-1,186
46,8,第三冊,5,熱學,0,章節總複習,章節所有知識點,熱學 （全）-2,187
47,8,第三冊,6,元素與原子,1,元素與化合物,純物質、元素,元素與化合物-1,188
48,8,第三冊,6,元素與原子,1,元素與化合物,化合物、混合物,元素與化合物-2,189
49,8,第三冊,6,元素與原子,2,認識元素,元素的命名、常見金屬元素,認識元素-1,190
50,8,第三冊,6,元素與原子,2,認識元素,常見非金屬元素、常見氣體,認識元素-2,191
51,8,第三冊,6,元素與原子,3,物質結構與原子,原子結構、質子,物質結構與原子-1,192
52,8,第三冊,6,元素與原子,3,物質結構與原子,中子、電子,物質結構與原子-2,193
53,8,第三冊,6,元素與原子,4,週期表,元素分類、族與週期、原子序,週期表,194
54,8,第三冊,6,元素與原子,5,分子與化學式,分子種類、化學式、實驗式,分子與化學式-1,195
55,8,第三冊,6,元素與原子,5,分子與化學式,示性式、結構式,分子與化學式-2,196
56,8,第三冊,6,元素與原子,0,章節總複習,章節所有知識點,元素與原子 （全）-1,197
57,8,第三冊,6,元素與原子,0,章節總複習,章節所有知識點,元素與原子 （全）-2,198
58,8,第四冊,1,化學反應,1,常見的化學反應,化學反應、常見反應,常見的化學反應,199
59,8,第四冊,1,化學反應,2,質量守恆定律,質量守恆定律,質量守恆定律,200
60,8,第四冊,1,化學反應,3,反應式與化學計量,原子量、分子量,反應式與化學計量-1,201
61,8,第四冊,1,化學反應,3,反應式與化學計量,莫耳、計量,反應式與化學計量-2,202
62,8,第四冊,1,化學反應,0,章節總複習,章節所有知識點,化學反應 （全）-1,203
63,8,第四冊,1,化學反應,0,章節總複習,章節所有知識點,化學反應 （全）-2,204
64,8,第四冊,2,氧化還原反應,1,氧化反應與活性,氧化反應、氧化物、物質燃燒,氧化反應與活性,205
65,8,第四冊,2,氧化還原反應,2,氧化與還原,還原反應、金屬活性、氧化還原,氧化與還原,206
66,8,第四冊,2,氧化還原反應,3,生活中的氧化還原,氧化還原的應用、煉鐵,生活中的氧化還原,207
67,8,第四冊,2,氧化還原反應,0,章節總複習,章節所有知識點,氧化還原反應 （全）-1,208
68,8,第四冊,2,氧化還原反應,0,章節總複習,章節所有知識點,氧化還原反應 （全）-2,209
69,8,第四冊,3,電解質與酸鹼鹽,1,電解質,電解質、離子,電解質-1,210
70,8,第四冊,3,電解質與酸鹼鹽,1,電解質,解離說、莫耳濃度,電解質-2,211
71,8,第四冊,3,電解質與酸鹼鹽,2,酸和鹼,酸、鹼、常見酸鹼,酸和鹼,212
72,8,第四冊,3,電解質與酸鹼鹽,3,酸鹼程度的表示,pH 值、酸鹼判斷、影響 pH 值的因素,酸鹼程度的表示,213
73,8,第四冊,3,電解質與酸鹼鹽,4,酸鹼中和反應,鹽的生成、鹽的酸鹼,酸鹼中和反應-1,214
