num,year_grade,book,chapter_num,chapter_name,section_num,section_name,knowledge_points,section_summary
,11,選修二,1,原子結構與週期表,2,原子軌域,電子雲、原子軌域、量子數、軌域能階、軌域形狀、軌域存在與否判斷、主量子數與電子容量、光譜線與能階躍遷、多電子原子能階排列,本節介紹了原子軌域的概念，指出電子在原子核外不再遵循固定圓周軌道，而是依據量子力學以機率分布的形式存在於空間中，稱為電子雲，電子出現機率高的區域即為「軌域」。本節重點包括四種量子數（主量子數n、角量子數l、磁量子數ml、旋量子數ms）的意義與限制，以及各種軌域（s、p、d、f）的形狀、數量、能階順序與存在條件。學生需熟悉軌域的名稱與排列、不同層級下的軌域數與可容納電子數。多電子原子中，因電子間交互作用與遮蔽效應，軌域能階遵循「n+l規則」，產生錯綜複雜的排列。此外，能階躍遷與發光現象也被探討，題型常見於判斷軌域是否存在、排列能階順序、計算電子容量、推斷光譜線條數與量子數是否合法等。理解本節內容有助於進一步掌握週期表與電子組態等進階單元。
,11,選修二,1,原子結構與週期表,3,電子組態,電子組態表示法、遞建原理、包立不相容原理、洪德定則、基態與激發態、未成對電子與半滿軌域、軌域能階順序、元素與電子組態的關聯,在這一節「電子組態」中，學生將學習如何以能階高低順序安排電子，並正確書寫原子與離子的電子組態。課程重點包括理解三大原則：遞建原理說明電子會先填入能量最低的軌域、包立不相容原理強調同一軌域的兩電子自旋方向需相反、洪德定則指出等能軌域會先填入相同自旋方向的電子。學生也會學到基態與激發態的分別、軌域能階排列（如3d低於4s）、以及如何根據電子組態判斷元素在週期表的位置與族別。常見題型包含判斷正確電子組態、分析未成對電子數、找出違反三大定則的組態、推估元素原子序與價電子數、比對同族或同週期元素，以及計算中子數或判斷電子躍遷是否吸收能量等。掌握這些內容，有助於解題時快速判斷元素性質與其反應行為。
,11,選修二,1,原子結構與週期表,4,原子性質與週期性,價電子週期性、游離能週期性、電負度週期性、原子半徑週期性、電子組態週期性、離子半徑週期性、鍵長、金屬性、離子鍵與共價鍵週期性,本節主要探討原子的基本性質如何在週期表中呈現週期性變化，並可用以解釋元素間的性質差異與化學行為。重點包括價電子的分布、原子半徑的變化趨勢（同週期愈往右半徑愈小、同族愈往下愈大）、游離能與電負度的週期規律，以及這些性質如何影響化學鍵的形成與化合物的穩定性。學生需熟悉離子與原子的半徑比較、不同價態下游離能變化、各族元素的電子組態與其對化學反應的影響。此外，也會介紹過渡元素與內過渡元素的定義與特性，並透過數據分析（如游離能大幅上升點）判斷價電子數與元素族別。常見題型包括：電子組態判斷、元素分類、鍵長估算、各種粒子半徑與游離能大小順序比較、電負度與鍵性質推論，以及週期表位置與原子性質的關聯等。掌握這些規律有助於推理新元素的化學行為，對後續化學反應與鍵結學習打下基礎。
,11,選修二,2,化學鍵,1,離子鍵與金屬鍵,離子鍵、金屬鍵、離子化合物的性質、金屬的性質、離子晶體與金屬晶體的比較,在本節中，學生將學習兩種重要的化學鍵結型態──離子鍵與金屬鍵。離子鍵通常發生在金屬與非金屬間，透過電子轉移形成帶正負電的離子，進而藉由靜電引力形成穩定的離子晶體，如NaCl、MgO等。學生需了解離子鍵強弱與熔點的關聯，包括電荷大小與離子半徑對晶格能的影響。金屬鍵則出現在金屬原子間，透過自由電子形成「電子海」，使金屬具有導電性、延展性、金屬光澤等特性。此外，本節也會探討同時含有離子鍵與共價鍵的化合物，例如NH₄Cl與Na₂SO₄。常見題型包含判斷鍵結類型、推論熔點高低、分析晶體結構中的最近鄰原子數、比較金屬與離子晶體性質等，並需熟悉電子組態與鍵結形式的關聯。
,11,選修二,2,化學鍵,2,共價鍵,共價鍵、σ鍵與π鍵、混成軌域、鍵長與鍵能、共振結構、共價鍵與分子性質,本節介紹共價鍵的形成原理，說明非金屬原子之間藉由共用電子對產生穩定鍵結。學生將學習σ鍵與π鍵的差異，包括形成方式、空間分布與性質，並進一步了解單鍵、雙鍵與參鍵的結構與強度差異。混成軌域理論亦是重點，包括sp、sp²、sp³等型態與鍵角、分子形狀的關聯，常見分子如CH₄、CO₂、BF₃等都會成為混成範例。此外，共振結構的概念也不可忽略，像是CO₃²⁻、O₃、C₆H₆等都是重要例子，需能判別何種結構具有共振現象。常見題型包括判斷分子混成軌域、鍵長與鍵能的比較、辨識共振結構、推論π鍵數目及σ鍵位置、分析鍵結與導電、溶解、熔點等性質的關聯等。整體而言，本節是理解分子結構、鍵結特性與化學性質的核心基礎。
,11,選修二,2,化學鍵,3,價殼層電子對互斥理論與分子形狀,VSEPR理論、分子形狀判斷、電子對排布型態、鍵結電子對與孤對電子對、混成軌域類型（sp、sp2、sp3）、鍵角比較、共平面與非共平面、立體結構與極性、幾何異構物,本節重點在介紹「價殼層電子對互斥理論（VSEPR theory）」，藉由分析中心原子周圍的鍵結電子對（bp）與孤對電子對（lp）數目，預測分子的三維形狀與鍵角大小。例如 AX2 為直線形、AX3 為平面三角形、AX3E 為三角錐形、AX2E2 則為彎曲形等。並進一步探討不同混成軌域（如 sp、sp2、sp3）對分子形狀的影響，以及孤電子對對鍵角的壓縮效應。此外，也涵蓋了如何從路易斯結構判斷分子是否遵守八隅體規則、是否具有共振結構等。本節常見題型包括：判斷分子或離子的形狀、比較鍵角大小、推斷中心原子的混成類型、選出具有特定形狀或極性的分子、分析是否具備幾何異構等，並常與實際分子結構如 H2O、NH3、BF3、CH4 等結合出題，是選修化學中最常見的圖像題與理解題來源。
,11,選修二,2,化學鍵,4,分子極性與分子間作用力,分子極性、鍵偶極、分子形狀、分子偶極矩、分子間作用力、氫鍵、分散力、偶極－偶極力,本節重點在於了解分子是否具有極性，以及分子之間的作用力如何影響物質的性質。首先，極性共價鍵的形成取決於鍵結原子間的電負度差，而整個分子是否為極性分子，則與分子結構（如對稱性、孤對電子）有關。具極性鍵但分子對稱者（如CO₂）可為非極性分子。其次，分子間作用力包括分散力、偶極－偶極力與氫鍵等，對沸點、熔點、溶解度與黏滯性有重要影響。題型常考「判斷分子極性與形狀」、「比較沸點或熔點高低」、「推論分子間作用力種類」、「氫鍵是否存在」、「同分異構物對性質的影響」等，並透過實驗結果或性質推論分子結構與作用力，為學生打下理解物質性質的關鍵基礎。
,11,選修二,3,反應速率定律,1,化學反應速率與表示法,化學反應速率、速率表示法、反應係數與速率關係、速率單位判斷、反應級數與速率定律、實驗數據判斷反應級數、半生期與級數判別、影響速率的條件,本節主要介紹化學反應速率的基本概念與表示法，學生需了解反應速率的定義、如何以反應物或生成物的濃度變化表示速率。此外，本節也介紹不同反應物在反應式中對應的係數比與速率之間的對應關係，並透過速率表示法推導反應物或生成物的速率關係。常見題型包括根據濃度變化計算速率、透過實驗數據推判反應級數、運用半生期判別反應級數、分析速率與濃度關係推導速率定律等。學生需特別注意速率單位的判斷與其對應的反應級數推導，並理解影響速率常數的因素僅與溫度、催化劑和反應物本質有關，而與反應物濃度無關。題目形式多樣，包含計算題、概念題與速率圖形判讀，為後續學習速率定律與反應機構奠定基礎。
,11,選修二,3,反應速率定律,2,化學反應的模型,碰撞理論、有效碰撞、活化能、活化複合體、反應位能圖、反應機構、中間產物、催化劑,本節主要探討化學反應進行的微觀機制，介紹碰撞理論與反應速率間的關係。根據碰撞理論，反應物分子需以足夠的能量且正確的位向碰撞，才能形成活化複合體，進而產生生成物。活化能是反應能夠進行的最小能量門檻，而位能圖則用來視覺化反應過程中的能量變化，包括反應物、活化複合體與生成物間的能量關係。透過此圖可以判斷反應的放吸熱性、正逆反應的活化能大小。章節也涵蓋反應機構，解析複雜反應如何經由數個簡單步驟進行，中間產物與催化劑的角色也會被探討。常見題型包含判斷碰撞是否有效、位能圖判讀、比較反應活化能與反應熱、推斷中間產物與反應路徑的可能性等，對圖形理解與能量關係的掌握是答題關鍵。
,11,選修二,3,反應速率定律,3,影響反應速率的因素,反應速率相關因素、反應物本質、動能分布、勻相與不勻相催化,本節主要探討影響化學反應速率的各種因素，幫助學生了解在相同反應下，條件不同會如何改變反應的快慢。常見影響因素包括溫度、表面積、濃度、催化劑、反應物的本質以及活化能等。溫度越高，超過低限能的分子數量增加，使反應速率提升；表面積增大可增加接觸機會，常見於不勻相反應中，例如金屬粉塵引起爆炸；濃度愈高，碰撞頻率愈大；催化劑則可改變反應途徑並降低活化能，使反應加快但不影響產率。此外，也需認識分子動能分布圖與有效碰撞的概念。本節常見題型包括：判斷反應速率快慢、分析催化劑作用、比較不同條件對反應速率的影響、動能分布圖判讀、勻相與不勻相催化的應用等，題型多元，需掌握原理並靈活判斷。
