num,year_grade,book,chapter_num,chapter_name,section_num,section_name,knowledge_points,section_summary
34,8,第四冊,3,電解質與酸鹼鹽,3,酸鹼程度的表示,pH 值、酸鹼判斷、影響 pH 值的因素,pH 值由溶液中 [H⁺] 濃度決定，25°C 時，[H⁺] × [OH⁻] = 10⁻¹⁴ M²。溶液的酸鹼性判斷：中性溶液： [H⁺] = [OH⁻] = 10⁻⁷ M，pH = 7。酸性溶液： [H⁺] > 10⁻⁷ M，pH < 7。鹼性溶液： [H⁺] < 10⁻⁷ M，pH > 7。影響 pH 值的因素：加入酸：增加 [H⁺]，降低 pH 值。加入鹼：增加 [OH⁻]，提高 pH 值。稀釋溶液：酸性溶液 pH 上升，鹼性溶液 pH 下降。指示劑變色範圍：石蕊試紙：酸 → 紅，鹼 → 藍。酚酞溶液：酸 → 無色，鹼 → 紅範例計算：若 [H⁺] = 10⁻⁶ M，則 [OH⁻] = 10⁻⁸ M，溶液呈酸性，pH = 6。
35,8,第四冊,3,電解質與酸鹼鹽,4,酸鹼中和反應,鹽的生成、鹽的酸鹼、常見鹽類、酸鹼中和計算,1. 鹽的生成方式：酸 + 鹼 → 鹽 + 水。例：NaOH + HCl → NaCl + H₂O。活性金屬 + 稀酸 → 鹽 + 氫氣：例：Mg + 2HCl → MgCl₂ + H₂。2. 鹽類的酸鹼性。強酸 + 強鹼 → 中性鹽 (如 NaCl、KNO₃)。強酸 + 弱鹼 → 酸性鹽 (如 CuSO₄、AgNO₃)。弱酸 + 強鹼 → 鹼性鹽 (如 Na₂CO₃、CH₃COONa)3. 常見鹽類：氯化鈉 (NaCl)：海水蒸發製得，可用於食鹽、電解產生氯氣、氫氣和 NaOH。碳酸鈣 (CaCO₃)：灰石、大理石主要成分，加熱可分解成氧化鈣和二氧化碳。碳酸鈉 (Na₂CO₃) 與碳酸氫鈉 (NaHCO₃)：前者為強鹼性，後者為弱鹼性，常用於清潔、焙粉。4. 酸鹼中和計算公式：H⁺ 莫耳數 = OH⁻ 莫耳數。M₁ × V₁ = M₂ × V₂。範例計算：0.2 M 鹽酸 20 mL，需 0.5 M NaOH 幾 mL？(0.2 × 20) = (0.5 × X) → X = 8 mL5. pH 與酸鹼中和。pH = 1 的 H₂SO₄ (40 mL)，需 pH = 12 的 Ba(OH)₂ 幾 mL？0.1 × 40 = 0.01 × X → X = 400 mL
36,8,第四冊,4,反應速率與平衡,1,反應速率,反應速率定義、影響反應速率的因素、催化劑,反應速率定義：化學反應的快慢程度。反應速率 = 反應物消耗量或生成物生成量 ÷ 時間 (單位：t⁻¹)。影響反應速率的因素。物質本性：活性大的物質反應快，活性小的反應慢。例：鈉與氧反應劇烈，鐵氧化則較慢。接觸面積：總表面積越大，反應越快。例：木材削成細條比整塊木頭更易燃燒。濃度：反應物濃度越高，反應速率越快。例：純氧助燃比空氣中的氧更劇烈。溫度：溫度越高，反應越快 (正向非正比關係)。例：食物放冰箱較不易腐敗。催化劑：改變反應速率但本身質量與性質不變。不改變總產量、平衡係數與平衡狀態。生物體內的酵素為生物催化劑，工業上則用特定催化劑。催化劑具選擇性和專一性。例：二氧化錳催化雙氧水分解、哈柏法製氨用鐵粉催化。
37,8,第四冊,4,反應速率與平衡,2,可逆反應與平衡,可逆反應、動態平衡、影響平衡的因素,可逆反應是指正反應與逆反應同時存在的反應，當正反應速率等於逆反應速率時，系統達到動態平衡，表面上濃度不變，但反應仍持續進行。平衡只能存在於密閉系統，且受濃度、溫度、壓力影響。濃度增加，平衡往減少該物質的方向移動；溫度升高有利於吸熱反應，降低則有利於放熱反應；壓力升高，平衡往氣體體積較小方向移動。催化劑可加快反應速率，但不改變平衡位置。例如鉻酸鉀與二鉻酸鉀的平衡，酸性環境下平衡右移，顏色由黃變橘；鹼性環境則左移，顏色由橘變黃。
38,8,第四冊,5,有機化合物,1,認識有機化合物,有機化合物定義、有機化合物的種類、天然氣與液化石油氣,有機化合物是含碳的化合物，常見類型包括烴類、醇類、酸類、酯類、醣類等，和碳酸鹽、碳氧化物、氰化物這些無機含碳化合物不同。有機化合物的結構多變，可能是鏈狀、環狀或網狀，且種類遠多於無機化合物。燃燒後產生CO2代表含碳，產生H2O代表含氫。天然氣主要成分為甲烷，液化石油氣則以丙烷和丁烷為主。兩者燃燒皆產生CO2和H2O。有機化合物多數來源於化石燃料，如石油、煤與天然氣，透過分解或分離取得，再進行化學合成，形成日常生活中各種塑膠、清潔劑、藥品等有機產品。
39,8,第四冊,5,有機化合物,2,常見的有機化合物,同分異構物、烴類、醇類、有機酸、酯類,有機化合物是含碳的化合物，性質受原子種類、數目與排列方式影響。有機化合物可分為烴類、醇類、酸類、酯類等。同分異構物是分子式相同但結構不同的化合物，如甲醚和乙醇。烴類是只含碳、氫的有機物，分為鏈狀與環狀，依飽和程度又分為烷、烯、炔。烴類不溶於水，燃燒產生CO2和H2O，不完全燃燒則生成CO，可能導致中毒。醇類通式CnH2n+1OH，如甲醇、乙醇，具溶水性，乙醇可發酵製得並具殺菌效果。有機酸通式CnH2n+1COOH，如甲酸、乙酸，呈弱酸性，易溶於水。酯類由有機酸與醇在濃硫酸催化下形成，「A酸+B醇->A酸B酯」，具水果香味，常作香料及調味劑，天然脂肪則是脂肪酸甘油酯的混合物。植物油高溫加熱易產生反式脂肪，危害健康。
40,8,第四冊,5,有機化合物,3,聚合物與衣料纖維,聚合物、聚合物種類、衣料纖維,聚合物是由許多小單元（單體）連接形成的巨大分子，又稱高分子化合物。依來源分為天然聚合物和合成聚合物。天然聚合物如澱粉、纖維素、蛋白質和天然橡膠；合成聚合物則包括合成纖維（如尼龍）、合成橡膠、合成塑膠（如PE、PVC、PS）。聚合物依結構分為鏈狀聚合物（熱塑性）與網狀聚合物（熱固性）。鏈狀聚合物加熱會熔化，冷卻後硬化，可回收，如寶特瓶、保麗龍。網狀聚合物為立體結構，高溫不易變形，無法回收，如輪胎、電路板等。衣料纖維分為天然與人造兩類。天然纖維包括植物纖維（麻、棉）與動物纖維（羊毛、蠶絲），燃燒時分別有紙張與羽毛氣味。人造纖維分為再生纖維（醋酸纖維、螺縈）與合成纖維（耐綸），再生纖維吸水佳，合成纖維易洗快乾，但吸水性差。
41,8,第四冊,5,有機化合物,4,有機物在生活中的應用,肥皂與清潔劑、皂化反應,肥皂由油脂與鹼反應生成，屬於鹽類，具親油端與親水端，去污時可將油污包裹形成乳化作用。合成清潔劑則由石化原料製成，可依需求選擇中性或其他性質，適用於硬水且洗滌力佳，不易受水中鈣鎂影響。肥皂在硬水中易形成皂垢，影響清潔效果，且對動物纖維清洗不佳。皂化反應』：油脂＋氫氧化鈉→ 脂肪酸鈉(肥皂)＋甘油(丙三醇)。肥皂製造時，因油脂與氫氧化鈉無法互溶，需加入酒精作溶劑，幫助混合並提高反應速率。反應後，利用鹽析法加入飽和食鹽水分離肥皂與甘油，肥皂浮在上層，甘油沉在下層。
42,8,第四冊,6,力與壓力,1,力與平衡,力的種類、力的單位、力的三要素、兩力平衡、力的測量,力的效應包含讓物體發生形變或運動狀態改變，力分為接觸力與非接觸力。接觸力如拉力、浮力，非接觸力如萬有引力、磁力。力的三要素是大小、方向與作用點，單位為牛頓(N)，1kgw=9.8N。兩力平衡條件是大小相等、方向相反且作用在一直線上。彈簧受力遵循虎克定律，伸長量與外力成正比。合力是多個力的總效果，兩力合成時同向相加，反向相減，夾角時需用平行四邊形法則求合力。測量力常用彈簧，依虎克定律，彈簧伸長量與外力成正比，公式為F＝K×ΔL。
43,8,第四冊,6,力與壓力,2,摩擦力,摩擦力、影響摩擦力的因素、動摩擦力、靜摩擦力,摩擦力是阻止物體相對運動的力，發生於兩物體接觸面上。摩擦力與接觸面平行，方向和運動趨勢相反。其大小與接觸面積無關，而和接觸面材質及正向力成正比。接觸面越粗糙、正向力越大，摩擦力也越大。靜摩擦力是物體受力後仍靜止時的摩擦力，大小會隨施力增加；最大靜摩擦力是物體開始滑動瞬間的摩擦力；動摩擦力是物體滑動時的摩擦力，大小固定，與施力無關。最大靜摩擦力比動摩擦力大。
