num,year_grade,book,chapter_num,chapter_name,section_num,section_name,knowledge_points,section_summary
,10,必修,2,物質的反應,4,反應熱,反應熱、焓變化 (ΔH)、標準反應熱 (ΔH°)、放熱反應與吸熱反應、熱化學方程式、生成熱、燃燒熱、能量變化圖、反應熱與反應途徑無關、能量守恆定律,化學反應熱探討反應過程中的能量變化，主要關注反應物轉化為生成物時釋放或吸收的熱量。焓變 (ΔH) 代表反應系統內部能量的變化，依據ΔH的正負可區分放熱與吸熱反應。標準狀態下的反應熱 (ΔH°) 是在25°C、1 atm測得的熱量變化，常用於比較不同反應的能量變化。熱化學方程式則標示反應物、生成物及其能量變化，並與反應物的狀態有關。生成熱與燃燒熱為常見的反應熱類型，分別描述物質生成與燃燒時的熱量變化。此外，能量變化圖可視覺化反應前後的焓變，而反應熱的大小僅取決於初始與最終狀態，與反應途徑無關，這與能量守恆定律一致，即能量不滅，只會轉換形式。
,10,必修,3,溶液與反應,1,溶液的種類與特性,溶質與溶劑、溶液的分類、溶液的均勻性、氣態與固態溶液、膠體溶液、廷得耳效應、溶液導電性,本節探討溶液的種類與特性，首先介紹溶液的基本概念，包括溶質與溶劑的區分，並說明溶液可存在於固態、液態與氣態。例如，空氣是氣態溶液，黃銅與18K金則為固態溶液。溶液的均勻性是其關鍵特徵，與懸浮液或膠體不同。膠體中的分散質顆粒較大，能產生廷得耳效應，使光線散射。溶液的導電性則與其是否為電解質有關，電解質水溶液可導電，而非電解質水溶液則否。此外，溶液的物理性質如沸點、凝固點可隨組成變化而不同，並非固定值。最後，討論合金的性質，說明其為均勻混合的固態溶液，並與液態或氣態溶液的特性作比較。
,10,必修,3,溶液與反應,2,水溶液的濃度,體積莫耳濃度、重量百分率濃度、溶液的稀釋、ppm 濃度單位、溶液的配製、比重與濃度換算、容量瓶與量筒的使用,本節主要探討水溶液中濃度的不同表示方式，包括體積莫耳濃度（M）、重量百分率濃度（%）、ppm 及莫耳分率等，並說明各種濃度之間的換算關係。此外，本節涵蓋溶液的稀釋與配製方法，強調體積與溶質質量的不變性，並介紹比重與濃度的關聯性，以便進行濃硫酸或其他濃縮溶液的稀釋計算。同時，還說明了容量瓶、量筒等器材的正確使用方式，以確保實驗數據的準確性。透過各種實際應用，如環境汙染物濃度換算、藥品與食品中的溶質含量分析，使學生能夠將溶液濃度的概念應用於日常生活及科學研究中。
,10,必修,3,溶液與反應,3,溶解度,溶解度、飽和與不飽和溶液、過飽和溶液、溫度對溶解度的影響、壓力對溶解度的影響、亨利定律、動態平衡、晶種作用,本節探討溶解度的概念，並區分飽和、不飽和與過飽和溶液。溶解度受溫度影響，對固體溶質而言通常隨溫度升高而增加，而氣體則相反，隨溫度升高溶解度下降。此外，壓力主要影響氣體的溶解度，根據亨利定律，氣體溶解度與其分壓成正比。溶液中的溶質與溶劑會達到動態平衡，使得溶解與析出同時發生，維持穩定濃度。過飽和溶液則是不穩定的，可藉由加入晶種來誘導溶質析出，使溶液回復至飽和狀態。本節亦涵蓋實驗方法，如透過變溫析出結晶以測定溶解度，並探討溶液的應用，如汽水中的二氧化碳溶解度受壓力與溫度影響等實例。
,10,必修,3,溶液與反應,4,酸鹼反應,酸鹼指示劑、pH值與酸鹼強度、酸鹼中和反應、酸鹼理論、酸鹼滴定、弱酸與弱鹼的解離,本節主要探討水溶液中的酸鹼性質與相關反應。首先，透過酸鹼指示劑的變色現象來區分酸鹼溶液，並利用pH值來量化溶液的酸鹼強度。接著介紹酸鹼學說，以解釋酸鹼的本質。酸鹼中和反應是本章的核心概念，探討酸與鹼反應生成鹽與水的機制。此外，透過滴定實驗，學習如何準確測定酸鹼溶液的濃度。最後，延伸討論弱酸與弱鹼的解離平衡及其影響因素，如溶液的電導性、離子強度等，並應用於日常生活中的案例，如酸雨、胃藥及食品中的酸鹼調節。
,10,必修,3,溶液與反應,5,氧化與還原反應,氧化與還原定義、氧化劑與還原劑、氧化數變化、電子轉移、氧化還原半反應、電池、金屬活性、生活中的氧化還原反應,氧化還原反應是化學反應的重要類型，涉及電子的轉移。氧化是物質失去電子，還原則是物質獲得電子，兩者總是成對發生。氧化劑是接受電子的物質，而還原劑則是提供電子的物質。氧化數的變化是判斷氧化還原反應的關鍵指標，若某元素的氧化數上升，表示其被氧化，反之則被還原。常見的氧化還原反應包括金屬與酸反應、金屬置換反應、燃燒反應及電池反應。金屬的活性決定其在氧化還原反應中的角色，活性大的金屬較易失去電子，成為還原劑。氧化還原反應廣泛應用於生活，例如電池的運作、金屬的防蝕、食物的保存等。
,10,必修,4,生活中的化學,1,生物體中的分子,蛋白質、醣類、脂質、核酸、變性作用、油脂的皂化反應、碘液與澱粉反應,本節主要探討生物體內的重要有機分子，包括蛋白質、醣類、脂質與核酸。蛋白質由胺基酸聚合而成，具有多樣的生理功能，並受變性作用影響。醣類是主要能量來源，依其分子結構可分為單醣、雙醣及多醣，如葡萄糖、蔗糖與澱粉。脂質則由甘油與脂肪酸構成，可分為飽和與不飽和脂肪酸，並可透過皂化反應生成肥皂。核酸（DNA與RNA）負責遺傳訊息的儲存與傳遞，組成單位為核苷酸。本節亦涵蓋碘液檢測澱粉等基本生化實驗應用。
,10,必修,4,生活中的化學,2,藥品與界面活性劑,藥品分類、解熱鎮痛劑、抗生素、胃藥制酸劑、清潔劑種類、硬水與清潔劑影響、界面活性劑作用、水質優養化,本節介紹日常生活中藥品與界面活性劑的化學原理與應用，探討各類藥物（如解熱鎮痛劑、抗生素、胃藥）之作用機制、安全性與配伍禁忌，並說明制酸劑如何中和胃酸以緩解不適。同時，闡述界面活性劑的分子結構特性，說明其親油與親水雙功能如何促進油污乳化與清洗，並比較肥皂與合成清潔劑在硬水中洗滌效果的差異。透過本節內容，學生可了解藥品和清潔劑在生產與使用過程中的基本化學反應及其對環境的影響（優養化）。
,10,必修,4,生活中的化學,3,新興能源與永續發展,化石燃料、核能發電、風力發電、太陽能電池、生質能、能量守恆、溫室效應、綠色化學,新興能源與永續發展探討現代社會對於能源的需求與挑戰，強調可再生能源的重要性，如太陽能、風能與生質能，這些能源來源能減少碳排放，緩解溫室效應。然而，目前主流能源仍以化石燃料為主，燃燒過程中產生大量二氧化碳，對環境造成影響。核能發電雖然高效，但核廢料處理仍是一大挑戰。此外，能量守恆定律表明，能源在使用過程中並不會消失，但往往伴隨著能量的散逸，使得有效利用能源成為重要課題。綠色化學則強調從源頭減少污染，提升能源使用效率，推動環保科技的發展，以實現永續發展的目標。
,10,必修,4,生活中的化學,4,環境與化學,水質淨化、硬水與軟水、酸雨、臭氧層破壞、溫室效應、光化學煙霧、廢氣處理、海水淡化、空氣污染,本節探討環境中的化學現象及其影響，包括水質淨化與硬水軟化的方法，並說明都市自來水的處理流程，如沉降、凝聚、過濾、消毒等步驟。此外，介紹酸雨的形成機制與影響，強調硫氧化物和氮氧化物對環境的破壞。臭氧層破壞與溫室效應則聚焦於大氣污染源，如氟氯碳化物和二氧化碳排放，並說明其對全球暖化的影響。光化學煙霧的成因則涉及氮氧化物與碳氫化合物的反應，對都市空氣品質造成危害。為解決這些問題，本節討論了觸媒轉化器、脫硫技術與海水淡化等環保技術，並強調人類活動對環境的影響及相應的防治措施。
