關卡編號,年級,冊數,章節編號,章節名稱,小節編號,小節名稱,知識點,關卡名稱,level_id
1,10,必修,1,物質的組成,1,物質的分類與分離,純物質與混合物、元素與化合物、物質的性質,物質的分類與分離-1,283
2,10,必修,1,物質的組成,1,物質的分類與分離,均勻與非均勻混合物、物質分離方法、溶液與溶劑,物質的分類與分離-2,284
3,10,必修,1,物質的組成,1,物質的分類與分離,同素異形體、化合物的固定組成、物質轉變與能量變化,物質的分類與分離-3,285
4,10,必修,1,物質的組成,2,三相圖,三相圖、臨界點、熔沸點,三相圖-1,286
5,10,必修,1,物質的組成,2,三相圖,壓力對相變的影響、蒸發與冷凝、超臨界流體,三相圖-2,287
6,10,必修,1,物質的組成,3,原子與分子,道耳頓原子說、質量守恆定律、定比定律,原子與分子-1,288
7,10,必修,1,物質的組成,3,原子與分子,倍比定律、氣體反應體積定律、原子與分子,原子與分子-2,289
8,10,必修,1,物質的組成,3,原子與分子,分子式、亞佛加厥定律,原子與分子-3,290
9,10,必修,1,物質的組成,3,原子與分子,原子量與分子量、氣體莫耳體積關係,原子與分子-4,291
10,10,必修,1,物質的組成,4,原子結構與週期表,原子結構、電子能階、波耳模型,原子結構與週期表-1,292
11,10,必修,1,物質的組成,4,原子結構與週期表,元素週期表、同位素、價電子,原子結構與週期表-2,293
12,10,必修,1,物質的組成,4,原子結構與週期表,離子形成、電子排布、核反應,原子結構與週期表-3,294
13,10,必修,1,物質的組成,5,化學鍵,共價鍵、離子鍵、金屬鍵,化學鍵-1,295
14,10,必修,1,物質的組成,5,化學鍵,分子間作用力、鍵能與鍵長、八隅體規則,化學鍵-2,296
15,10,必修,1,物質的組成,5,化學鍵,電解質與導電性、共價網狀固體、鍵極性與分子極性,化學鍵-3,297
16,10,必修,1,物質的組成,0,章節總複習,章節所有知識點,物質的組成 （全）-1,298
17,10,必修,1,物質的組成,0,章節總複習,章節所有知識點,物質的組成 （全）-2,299
18,10,必修,2,物質的反應,1,化學式,實驗式、分子式、示性式,化學式-1,300
19,10,必修,2,物質的反應,1,化學式,結構式、化合物的分子組成、同分異構物,化學式-2,301
20,10,必修,2,物質的反應,1,化學式,官能基、離子化合物,化學式-3,302
21,10,必修,2,物質的反應,1,化學式,共價化合物、質量百分組成,化學式-4,303
22,10,必修,2,物質的反應,2,反應式與平衡,化學反應式的平衡原則、係數比與莫耳數關係,反應式與平衡-1,304
23,10,必修,2,物質的反應,2,反應式與平衡,氣體反應體積比、電荷守恆,反應式與平衡-2,305
24,10,必修,2,物質的反應,3,莫耳與化學計量,莫耳數、化學反應係數、質量守恆定律,莫耳與化學計量-1,306
25,10,必修,2,物質的反應,3,莫耳與化學計量,氣體體積與莫耳數關係、化學方程式計算,莫耳與化學計量-2,307
26,10,必修,2,物質的反應,3,莫耳與化學計量,限量試劑、莫耳體積,莫耳與化學計量-3,308
27,10,必修,2,物質的反應,4,反應熱,反應熱、焓變化 (ΔH)、標準反應熱 (ΔH°),反應熱-1,309
28,10,必修,2,物質的反應,4,反應熱,放熱反應與吸熱反應、熱化學方程式、生成熱,反應熱-2,310
29,10,必修,2,物質的反應,4,反應熱,燃燒熱、能量變化圖,反應熱-3,311
30,10,必修,2,物質的反應,4,反應熱,反應熱與反應途徑無關、能量守恆定律,反應熱-4,312
31,10,必修,2,物質的反應,0,章節總複習,章節所有知識點,物質的反應 （全）-1,313
32,10,必修,2,物質的反應,0,章節總複習,章節所有知識點,物質的反應 （全）-2,314
33,10,必修,3,溶液與反應,1,溶液的種類與特性,溶質與溶劑、溶液的分類、溶液的均勻性,溶液的種類與特性-1,315
34,10,必修,3,溶液與反應,1,溶液的種類與特性,氣態與固態溶液、膠體溶液,溶液的種類與特性-2,316
35,10,必修,3,溶液與反應,1,溶液的種類與特性,廷得耳效應、溶液導電性,溶液的種類與特性-3,317
36,10,必修,3,溶液與反應,2,水溶液的濃度,體積莫耳濃度、重量百分率濃度、溶液的稀釋,水溶液的濃度-1,318
37,10,必修,3,溶液與反應,2,水溶液的濃度,ppm 濃度單位、溶液的配製,水溶液的濃度-2,319
38,10,必修,3,溶液與反應,2,水溶液的濃度,比重與濃度換算、容量瓶與量筒的使用,水溶液的濃度-3,320
39,10,必修,3,溶液與反應,3,溶解度,溶解度、飽和與不飽和溶液、過飽和溶液,溶解度-1,321
40,10,必修,3,溶液與反應,3,溶解度,溫度對溶解度的影響、壓力對溶解度的影響、亨利定律,溶解度-2,322
41,10,必修,3,溶液與反應,3,溶解度,動態平衡、晶種作用,溶解度-3,323
42,10,必修,3,溶液與反應,4,酸鹼反應,酸鹼指示劑、pH值與酸鹼強度、酸鹼中和反應,酸鹼反應-1,324
43,10,必修,3,溶液與反應,4,酸鹼反應,酸鹼理論、酸鹼滴定、弱酸與弱鹼的解離,酸鹼反應-2,325
44,10,必修,3,溶液與反應,5,氧化與還原反應,氧化與還原定義、氧化劑與還原劑、氧化數變化,氧化與還原反應-1,326
45,10,必修,3,溶液與反應,5,氧化與還原反應,電子轉移、氧化還原半反應、電池,氧化與還原反應-2,327
46,10,必修,3,溶液與反應,5,氧化與還原反應,金屬活性、生活中的氧化還原反應,氧化與還原反應-3,328
47,10,必修,3,溶液與反應,0,章節總複習,章節所有知識點,溶液與反應 （全）-1,329
48,10,必修,3,溶液與反應,0,章節總複習,章節所有知識點,溶液與反應 （全）-2,330
49,10,必修,4,生活中的化學,1,生物體中的分子,蛋白質、醣類、脂質,生物體中的分子-1,331
50,10,必修,4,生活中的化學,1,生物體中的分子,核酸、變性作用,生物體中的分子-2,332
51,10,必修,4,生活中的化學,1,生物體中的分子,油脂的皂化反應、碘液與澱粉反應,生物體中的分子-3,333
52,10,必修,4,生活中的化學,2,藥品與界面活性劑,藥品分類、解熱鎮痛劑、抗生素,藥品與界面活性劑-1,334
53,10,必修,4,生活中的化學,2,藥品與界面活性劑,胃藥制酸劑、清潔劑種類、硬水與清潔劑影響,藥品與界面活性劑-2,335
54,10,必修,4,生活中的化學,2,藥品與界面活性劑,界面活性劑作用、水質優養化,藥品與界面活性劑-3,336
55,10,必修,4,生活中的化學,3,新興能源與永續發展,化石燃料、核能發電、風力發電,新興能源與永續發展-1,337
56,10,必修,4,生活中的化學,3,新興能源與永續發展,太陽能電池、生質能、能量守恆,新興能源與永續發展-2,338
57,10,必修,4,生活中的化學,3,新興能源與永續發展,溫室效應、綠色化學,新興能源與永續發展-3,339
58,10,必修,4,生活中的化學,4,環境與化學,水質淨化、硬水與軟水、酸雨,環境與化學-1,340
59,10,必修,4,生活中的化學,4,環境與化學,臭氧層破壞、溫室效應、光化學煙霧,環境與化學-2,341
60,10,必修,4,生活中的化學,4,環境與化學,廢氣處理、海水淡化、空氣污染,環境與化學-3,342
61,10,必修,4,生活中的化學,5,先進科技的化學應用,奈米碳管、石墨烯、光觸媒,先進科技的化學應用-1,343
62,10,必修,4,生活中的化學,5,先進科技的化學應用,半導體材料、太陽能電池、奈米材料,先進科技的化學應用-2,344
63,10,必修,4,生活中的化學,5,先進科技的化學應用,生質能源、奈米效應,先進科技的化學應用-3,345
64,10,必修,4,生活中的化學,0,章節總複習,章節所有知識點,生活中的化學 （全）-1,346
65,10,必修,4,生活中的化學,0,章節總複習,章節所有知識點,生活中的化學 （全）-2,347
66,11,選修一,1,化學計量與反應熱,1,反應式的平衡及應用,氧化數、氧化還原、化學式平衡,反應式的平衡及應用-1,348
67,11,選修一,1,化學計量與反應熱,1,反應式的平衡及應用,氧化數平衡法、過氧化物、限量試劑,反應式的平衡及應用-2,349
68,11,選修一,1,化學計量與反應熱,1,反應式的平衡及應用,理論產率與實際產率、氣體莫耳體積,反應式的平衡及應用-3,350
69,11,選修一,1,化學計量與反應熱,2,反應的能量變化,反應熱、吸熱與放熱、莫耳生成熱,反應的能量變化-1,351
70,11,選修一,1,化學計量與反應熱,2,反應的能量變化,莫耳燃燒熱、熱化學方程式、能量變化圖,反應的能量變化-2,352
71,11,選修一,1,化學計量與反應熱,2,反應的能量變化,熱量計算、反應速率與熱變化、反應自發性,反應的能量變化-3,353
72,11,選修一,1,化學計量與反應熱,3,赫斯定律,赫斯定律、反應熱的加成性、熱化學方程式,赫斯定律-1,354
73,11,選修一,1,化學計量與反應熱,3,赫斯定律,反應熱計算、反應熱測量,赫斯定律-2,355
74,11,選修一,1,化學計量與反應熱,0,章節總複習,章節所有知識點,化學計量與反應熱 （全）-1,356
75,11,選修一,1,化學計量與反應熱,0,章節總複習,章節所有知識點,化學計量與反應熱 （全）-2,357
76,11,選修一,2,氣體,1,氣體的性質,氣體的體積與壓力關係、氣體混合與均勻性、氣體的運動與擴散,氣體的性質-1,358
77,11,選修一,2,氣體,1,氣體的性質,氣壓的測量方法、大氣壓力與單位換算、氣體的分子速度分布,氣體的性質-2,359
78,11,選修一,2,氣體,2,氣體基本定律,波以耳定律、查理定律、亞佛加厥定律,氣體基本定律-1,360
79,11,選修一,2,氣體,2,氣體基本定律,氣體分子運動論、氣體密度,氣體基本定律-2,361
80,11,選修一,2,氣體,2,氣體基本定律,氣體液化與臨界點、標準狀況,氣體基本定律-3,362
81,11,選修一,2,氣體,3,理想氣體,理想氣體定義、理想氣體方程式,理想氣體-1,363
82,11,選修一,2,氣體,3,理想氣體,理想氣體與真實氣體的差異、分子動能與溫度關係,理想氣體-2,364
83,11,選修一,2,氣體,4,氣體分壓,道耳頓分壓定律、莫耳分率與分壓關係、氣體混合與分壓計算,氣體分壓-1,365
84,11,選修一,2,氣體,4,氣體分壓,氣體化學反應與分壓變化、氣體密度與分壓關係,氣體分壓-2,366
85,11,選修一,2,氣體,4,氣體分壓,飽和蒸氣壓與氣體平衡、氣體擴散與混合,氣體分壓-3,367
86,11,選修一,2,氣體,0,章節總複習,章節所有知識點,氣體 （全）-1,368
87,11,選修一,2,氣體,0,章節總複習,章節所有知識點,氣體 （全）-2,369
88,11,選修一,3,溶液,1,物質的狀態,物質三態、相變化、三相圖,物質的狀態-1,370
89,11,選修一,3,溶液,1,物質的狀態,沸點與熔點的壓力關係、液晶、熱量計算,物質的狀態-2,371
90,11,選修一,3,溶液,1,物質的狀態,氣體溶解度與亨利定律、粒子運動模型,物質的狀態-3,372
91,11,選修一,3,溶液,2,溶液中的溶解特性,溶解度、沈澱表、離子共存與沉澱反應,溶液中的溶解特性-1,373
92,11,選修一,3,溶液,2,溶液中的溶解特性,溶解度積、滲透壓、沸點上升與凝固點下降,溶液中的溶解特性-2,374
93,11,選修一,3,溶液,2,溶液中的溶解特性,分子量測定、溶液導電性,溶液中的溶解特性-3,375
94,11,選修一,3,溶液,3,物質的蒸氣壓,飽和蒸氣壓、相對溼度、拉午耳定律,物質的蒸氣壓-1,376
95,11,選修一,3,溶液,3,物質的蒸氣壓,理想溶液、蒸氣壓與溫度的關係、溶液濃度與蒸氣壓的影響,物質的蒸氣壓-2,377
96,11,選修一,3,溶液,3,物質的蒸氣壓,非揮發性溶質與蒸氣壓、混合液體蒸氣壓偏差、沸點與蒸氣壓的關係,物質的蒸氣壓-3,378
97,11,選修一,3,溶液,4,溶液的依數性質,依數性質、沸點上升、凝固點下降,溶液的依數性質-1,379
98,11,選修一,3,溶液,4,溶液的依數性質,蒸氣壓下降、滲透壓、凡特荷夫因子 - i,溶液的依數性質-2,380
99,11,選修一,3,溶液,4,溶液的依數性質,解離度、高分子量測定、半透膜與滲透作用,溶液的依數性質-3,381
100,11,選修一,3,溶液,0,章節總複習,章節所有知識點,溶液 （全）-1,382
101,11,選修一,3,溶液,0,章節總複習,章節所有知識點,溶液 （全）-2,383
102,11,選修二,1,原子結構與週期表,1,原子結構與氫原子光譜,氫原子光譜、電子能階、能階躍遷,原子結構與氫原子光譜-1,384
103,11,選修二,1,原子結構與週期表,1,原子結構與氫原子光譜,波耳原子模型、芮得柏公式、譜線系列,原子結構與氫原子光譜-2,385
104,11,選修二,1,原子結構與週期表,1,原子結構與氫原子光譜,電磁波頻率與能量關係、游離能、激發態與基態,原子結構與氫原子光譜-3,386
105,11,選修二,1,原子結構與週期表,2,原子軌域,電子雲、原子軌域、量子數,原子軌域-1,387
106,11,選修二,1,原子結構與週期表,2,原子軌域,軌域能階、軌域形狀、軌域存在與否判斷,原子軌域-2,388
107,11,選修二,1,原子結構與週期表,2,原子軌域,主量子數與電子容量、光譜線與能階躍遷、多電子原子能階排列,原子軌域-3,389
108,11,選修二,1,原子結構與週期表,3,電子組態,電子組態表示法、遞建原理、包立不相容原理,電子組態-1,390
109,11,選修二,1,原子結構與週期表,3,電子組態,洪德定則、基態與激發態、未成對電子與半滿軌域,電子組態-2,391
110,11,選修二,1,原子結構與週期表,3,電子組態,軌域能階順序、元素與電子組態的關聯,電子組態-3,392
111,11,選修二,1,原子結構與週期表,4,原子性質與週期性,價電子週期性、游離能週期性、電負度週期性,原子性質與週期性-1,393
112,11,選修二,1,原子結構與週期表,4,原子性質與週期性,原子半徑週期性、電子組態週期性、離子半徑週期性,原子性質與週期性-2,394
113,11,選修二,1,原子結構與週期表,4,原子性質與週期性,鍵長、金屬性、離子鍵與共價鍵週期性,原子性質與週期性-3,395
114,11,選修二,1,原子結構與週期表,0,章節總複習,章節所有知識點,原子結構與週期表 （全）-1,396
115,11,選修二,1,原子結構與週期表,0,章節總複習,章節所有知識點,原子結構與週期表 （全）-2,397
116,11,選修二,2,化學鍵,1,離子鍵與金屬鍵,離子鍵、金屬鍵、離子化合物的性質,離子鍵與金屬鍵-1,398
117,11,選修二,2,化學鍵,1,離子鍵與金屬鍵,金屬的性質、離子晶體與金屬晶體的比較,離子鍵與金屬鍵-2,399
118,11,選修二,2,化學鍵,2,共價鍵,共價鍵、σ鍵與π鍵、混成軌域,共價鍵-1,400
119,11,選修二,2,化學鍵,2,共價鍵,鍵長與鍵能、共振結構、共價鍵與分子性質,共價鍵-2,401
120,11,選修二,2,化學鍵,3,價殼層電子對互斥理論與分子形狀,VSEPR理論、分子形狀判斷、電子對排布型態,價殼層電子對互斥理論與分子形狀-1,402
121,11,選修二,2,化學鍵,3,價殼層電子對互斥理論與分子形狀,鍵結電子對與孤對電子對、混成軌域類型（sp、sp2,價殼層電子對互斥理論與分子形狀-2,403
122,11,選修二,2,化學鍵,3,價殼層電子對互斥理論與分子形狀,sp3）、鍵角比較、共平面與非共平面,價殼層電子對互斥理論與分子形狀-3,404
123,11,選修二,2,化學鍵,3,價殼層電子對互斥理論與分子形狀,立體結構與極性、幾何異構物,價殼層電子對互斥理論與分子形狀-4,405
124,11,選修二,2,化學鍵,4,分子極性與分子間作用力,分子極性、鍵偶極、分子形狀,分子極性與分子間作用力-1,406
125,11,選修二,2,化學鍵,4,分子極性與分子間作用力,分子偶極矩、分子間作用力、氫鍵,分子極性與分子間作用力-2,407
126,11,選修二,2,化學鍵,4,分子極性與分子間作用力,分散力、偶極－偶極力,分子極性與分子間作用力-3,408
127,11,選修二,2,化學鍵,0,章節總複習,章節所有知識點,化學鍵 （全）-1,409
128,11,選修二,2,化學鍵,0,章節總複習,章節所有知識點,化學鍵 （全）-2,410
129,11,選修二,3,反應速率定律,1,化學反應速率與表示法,化學反應速率、速率表示法、反應係數與速率關係,化學反應速率與表示法-1,411
130,11,選修二,3,反應速率定律,1,化學反應速率與表示法,速率單位判斷、反應級數與速率定律、實驗數據判斷反應級數,化學反應速率與表示法-2,412
131,11,選修二,3,反應速率定律,1,化學反應速率與表示法,半生期與級數判別、影響速率的條件,化學反應速率與表示法-3,413
132,11,選修二,3,反應速率定律,2,化學反應的模型,碰撞理論、有效碰撞、活化能,化學反應的模型-1,414
133,11,選修二,3,反應速率定律,2,化學反應的模型,活化複合體、反應位能圖、反應機構,化學反應的模型-2,415
134,11,選修二,3,反應速率定律,2,化學反應的模型,中間產物、催化劑,化學反應的模型-3,416
135,11,選修二,3,反應速率定律,3,影響反應速率的因素,反應速率相關因素、反應物本質,影響反應速率的因素-1,417
136,11,選修二,3,反應速率定律,3,影響反應速率的因素,動能分布、勻相與不勻相催化,影響反應速率的因素-2,418
137,11,選修二,3,反應速率定律,0,章節總複習,章節所有知識點,反應速率定律 （全）-1,419
138,11,選修二,3,反應速率定律,0,章節總複習,章節所有知識點,反應速率定律 （全）-2,420
139,11,選修三,1,化學平衡,1,化學平衡與平衡常數,化學平衡、平衡狀態、平衡常數Kc與Kp,化學平衡與平衡常數-1,421
140,11,選修三,1,化學平衡,1,化學平衡與平衡常數,反應商Q、正逆反應速率、動態平衡,化學平衡與平衡常數-2,422
141,11,選修三,1,化學平衡,1,化學平衡與平衡常數,平衡常數與溫度的關係、平衡常數的計算與判斷反應方向,化學平衡與平衡常數-3,423
142,11,選修三,1,化學平衡,2,平衡的移動,勒沙特列原理、濃度變化對平衡的影響、壓力與體積變化對平衡的影響,平衡的移動-1,424
143,11,選修三,1,化學平衡,2,平衡的移動,溫度變化對平衡的影響、催化劑對平衡的影響、平衡常數K與反應條件的關係,平衡的移動-2,425
144,11,選修三,1,化學平衡,2,平衡的移動,Kp與Kc的轉換與應用、反應熱與平衡方向判斷、氣體反應係數變化與平衡移動方向,平衡的移動-3,426
145,11,選修三,1,化學平衡,3,溶解度平衡,溶度積Ksp、溶解平衡、同離子效應,溶解度平衡-1,427
146,11,選修三,1,化學平衡,3,溶解度平衡,沉澱形成與判斷、共存離子問題、離子積Q與Ksp比較,溶解度平衡-2,428
147,11,選修三,1,化學平衡,3,溶解度平衡,溶解度計算、沉澱選擇性與分離技巧、沉澱質量與溶質損失估算,溶解度平衡-3,429
148,11,選修三,1,化學平衡,0,章節總複習,章節所有知識點,化學平衡 （全）-1,430
149,11,選修三,1,化學平衡,0,章節總複習,章節所有知識點,化學平衡 （全）-2,431
150,11,選修三,2,酸鹼鹽,1,布-洛酸鹼理論,布-洛酸鹼理論、質子的供體與受體、共軛酸鹼對,布-洛酸鹼理論-1,432
151,11,選修三,2,酸鹼鹽,1,布-洛酸鹼理論,兩性物質、酸鹼強弱與反應趨勢、酸鹼強度與共軛關係,布-洛酸鹼理論-2,433
152,11,選修三,2,酸鹼鹽,1,布-洛酸鹼理論,酸鹼定義比較、多質子酸,布-洛酸鹼理論-3,434
153,11,選修三,2,酸鹼鹽,2,溶液的酸鹼度,pH與pOH的定義與計算、強酸與弱酸的區別、Ka與Kb的關係,溶液的酸鹼度-1,435
154,11,選修三,2,酸鹼鹽,2,溶液的酸鹼度,解離百分率與濃度的關係、溫度對Kw與pH的影響,溶液的酸鹼度-2,436
155,11,選修三,2,酸鹼鹽,2,溶液的酸鹼度,水的自解離與離子積Kw、弱酸弱鹼的解離平衡與圖形判讀,溶液的酸鹼度-3,437
156,11,選修三,2,酸鹼鹽,3,鹽的命名與水解,酸式鹽、正鹽、鹼式鹽,鹽的命名與水解-1,438
157,11,選修三,2,酸鹼鹽,3,鹽的命名與水解,鹽的命名、水解、離子酸鹼性,鹽的命名與水解-2,439
158,11,選修三,2,酸鹼鹽,3,鹽的命名與水解,複鹽、錯鹽,鹽的命名與水解-3,440
159,11,選修三,2,酸鹼鹽,4,緩衝溶液,緩衝溶液、共軛酸鹼對、緩衝容量,緩衝溶液-1,441
160,11,選修三,2,酸鹼鹽,4,緩衝溶液,同離子效應、緩衝溶液的配製、pH與Ka/Kb的關係,緩衝溶液-2,442
161,11,選修三,2,酸鹼鹽,4,緩衝溶液,影響緩衝效果的因素、緩衝溶液的應用,緩衝溶液-3,443
162,11,選修三,2,酸鹼鹽,5,酸鹼滴定,當量點、滴定終點、指示劑變色範圍與選擇,酸鹼滴定-1,444
163,11,選修三,2,酸鹼鹽,5,酸鹼滴定,酸鹼中和反應、強酸強鹼與弱酸弱鹼的滴定曲線、滴定實驗儀器操作,酸鹼滴定-2,445
164,11,選修三,2,酸鹼鹽,5,酸鹼滴定,滴定計算、緩衝溶液與半當量點,酸鹼滴定-3,446
165,11,選修三,2,酸鹼鹽,0,章節總複習,章節所有知識點,酸鹼鹽 （全）-1,447
166,11,選修三,2,酸鹼鹽,0,章節總複習,章節所有知識點,酸鹼鹽 （全）-2,448
167,12,選修四,1,氧化與還原,1,氧化數,氧化數定義、常見元素的氧化數、氧化數計算規則,氧化數-1,449
168,12,選修四,1,氧化與還原,1,氧化數,氧化劑與還原劑、自身氧化還原反應、氧化還原反應的判斷,氧化數-2,450
169,12,選修四,1,氧化與還原,1,氧化數,氧化數與反應平衡、氧化劑與還原劑的強弱比較、氧化數的應用與推理,氧化數-3,451
170,12,選修四,1,氧化與還原,2,氧化還原滴定,氧化還原滴定、滴定裝置與操作、當量點與終點,氧化還原滴定-1,452
171,12,選修四,1,氧化與還原,2,氧化還原滴定,常見氧化劑與還原劑、電子轉移與氧化數變化、定量計算與莫耳數關係,氧化還原滴定-2,453
172,12,選修四,1,氧化與還原,2,氧化還原滴定,指示劑選擇與變色原理、間接滴定與反應配平,氧化還原滴定-3,454
173,12,選修四,1,氧化與還原,3,電化電池,電池基本構造、電池符號、電極反應,電化電池-1,455
174,12,選修四,1,氧化與還原,3,電化電池,標準電極電位、電子流動方向、電動勢計算,電化電池-2,456
175,12,選修四,1,氧化與還原,3,電化電池,常見化學電池、電池與能量轉換、影響電壓的因素,電化電池-3,457
176,12,選修四,1,氧化與還原,4,電解與電鍍,電解反應、電鍍原理、電極產物判斷,電解與電鍍-1,458
177,12,選修四,1,氧化與還原,4,電解與電鍍,還原電位、法拉第電解定律、化學電鍍,電解與電鍍-2,459
178,12,選修四,1,氧化與還原,4,電解與電鍍,工業電解應用、電解液與電極材料選擇,電解與電鍍-3,460
179,12,選修四,1,氧化與還原,0,章節總複習,章節所有知識點,氧化與還原 （全）-1,461
180,12,選修四,1,氧化與還原,0,章節總複習,章節所有知識點,氧化與還原 （全）-2,462
181,12,選修四,2,常見物質與應用,1,非金屬元素,非金屬元素、氫氣製備與性質、氮氣製備與性質,非金屬元素-1,463
182,12,選修四,2,常見物質與應用,1,非金屬元素,氧氣與臭氧、碳與矽的同素異形體與化合物、溫室效應與二氧化碳,非金屬元素-2,464
183,12,選修四,2,常見物質與應用,1,非金屬元素,氮氧化物與固氮作用、半導體材料與矽元素、工業製程如哈柏法與奧士華法,非金屬元素-3,465
184,12,選修四,2,常見物質與應用,2,主族金屬元素,鹼金屬與鹼土金屬、金屬鈉與鎂的製備、氫氧化鈉,主族金屬元素-1,466
185,12,選修四,2,常見物質與應用,2,主族金屬元素,碳酸鈉與碳酸氫鈉的比較、鋁的兩性與製備、常見主族金屬化合物的溶解度,主族金屬元素-2,467
186,12,選修四,2,常見物質與應用,2,主族金屬元素,索耳未法、主族金屬在生活中的應用,主族金屬元素-3,468
187,12,選修四,2,常見物質與應用,3,過渡金屬元素,過渡元素、配位化合物、中心金屬離子,過渡金屬元素-1,469
188,12,選修四,2,常見物質與應用,3,過渡金屬元素,配位數、配位基,過渡金屬元素-2,470
189,12,選修四,2,常見物質與應用,3,過渡金屬元素,錯合物異構物、鉗合物,過渡金屬元素-3,471
190,12,選修四,2,常見物質與應用,4,先進材料,半導體、導電性、價帶與傳導帶能隙,先進材料-1,472
191,12,選修四,2,常見物質與應用,4,先進材料,p型與n型半導體、奈米材料、奈米碳管,先進材料-2,473
192,12,選修四,2,常見物質與應用,4,先進材料,液晶、光觸媒、導電塑膠,先進材料-3,474
193,12,選修四,2,常見物質與應用,0,章節總複習,章節所有知識點,常見物質與應用 （全）-1,475
194,12,選修四,2,常見物質與應用,0,章節總複習,章節所有知識點,常見物質與應用 （全）-2,476
195,12,選修五,1,有機化合物,1,有機化合物的組成與命名,有機化合物的定義、烴類分類、烷類的命名原則,有機化合物的組成與命名-1,477
196,12,選修五,1,有機化合物,1,有機化合物的組成與命名,同分異構物、燃燒分析與實驗式推導、不飽和度判斷,有機化合物的組成與命名-2,478
197,12,選修五,1,有機化合物,1,有機化合物的組成與命名,烷類的物理與化學性質、飽和與不飽和烴的辨識、分子量的測定方法,有機化合物的組成與命名-3,479
198,12,選修五,1,有機化合物,2,不飽和烴,烯烴、炔烴、芳香烴,不飽和烴-1,480
199,12,選修五,1,有機化合物,2,不飽和烴,混成軌域、命名規則、官能基位置,不飽和烴-2,481
200,12,選修五,1,有機化合物,3,常見有機化合物的種類,官能基、異構物、有機化合物分類,常見有機化合物的種類-1,482
201,12,選修五,1,有機化合物,3,常見有機化合物的種類,有機化合物命名、物理性質比較,常見有機化合物的種類-2,483
202,12,選修五,1,有機化合物,3,常見有機化合物的種類,酯化反應、完全燃燒計算,常見有機化合物的種類-3,484
203,12,選修五,1,有機化合物,0,章節總複習,章節所有知識點,有機化合物 （全）-1,485
204,12,選修五,1,有機化合物,0,章節總複習,章節所有知識點,有機化合物 （全）-2,486
205,12,選修五,2,有機化合物的製備與反應,1,碳氫化合物,烷類性質與反應、烯類性質與反應、炔類性質與反應,碳氫化合物-1,487
206,12,選修五,2,有機化合物的製備與反應,1,碳氫化合物,芳香烴性質與反應、加成反應、取代反應,碳氫化合物-2,488
