關卡編號,年級,冊數,章節編號,章節名稱,小節編號,小節名稱,知識點,關卡名稱,level_id
1,7,第一冊,1,認識位置與地圖,1,如何表示位置,座標系統、比例尺,如何表示位置,810.0
2,7,第一冊,1,認識位置與地圖,2,經緯線網格,經線、緯線,經緯線網格,811.0
3,7,第一冊,1,認識位置與地圖,3,位置與生活的關聯,地理位置、生活便利性,位置與生活的關聯,812.0
4,7,第一冊,1,認識位置與地圖,4,如何閱讀地圖,比例尺、圖例,如何閱讀地圖,813.0
5,7,第一冊,1,認識位置與地圖,0,章節總複習,章節所有知識點,認識位置與地圖 （全）-1,814.0
6,7,第一冊,1,認識位置與地圖,0,章節總複習,章節所有知識點,認識位置與地圖 （全）-2,815.0
7,7,第一冊,2,世界中的臺灣,1,全球海陸分布,海洋與陸地的比例、重要的海峽與通道,全球海陸分布,816.0
8,7,第一冊,2,世界中的臺灣,2,臺灣的位置及其影響,海洋位置、地理影響,臺灣的位置及其影響,817.0
9,7,第一冊,2,世界中的臺灣,3,臺灣地區的範圍,臺灣的地理範圍、海域和島嶼地位,臺灣地區的範圍,818.0
10,7,第一冊,2,世界中的臺灣,0,章節總複習,章節所有知識點,世界中的臺灣 （全）-1,819.0
11,7,第一冊,2,世界中的臺灣,0,章節總複習,章節所有知識點,世界中的臺灣 （全）-2,820.0
12,7,第一冊,3,地形,1,地形如何被形塑,侵蝕作用、沉積作用,地形如何被形塑,821.0
13,7,第一冊,3,地形,2,常見的地形表示方法,地形圖、等高線,常見的地形表示方法,822.0
14,7,第一冊,3,地形,3,臺灣地形的特徵與分布,山脈分布、地形特徵與影響,臺灣地形的特徵與分布,823.0
15,7,第一冊,3,地形,0,章節總複習,章節所有知識點,地形 （全）-1,824.0
16,7,第一冊,3,地形,0,章節總複習,章節所有知識點,地形 （全）-2,825.0
17,7,第一冊,4,海岸與島嶼,1,海岸的類型與特色,侵蝕作用、沉積作用,海岸的類型與特色,826.0
18,7,第一冊,4,海岸與島嶼,2,臺灣的海岸與利用,海岸地形、海岸開發,臺灣的海岸與利用,827.0
19,7,第一冊,4,海岸與島嶼,3,臺灣離島的成因,板塊運動、火山噴發,臺灣離島的成因,828.0
20,7,第一冊,4,海岸與島嶼,0,章節總複習,章節所有知識點,海岸與島嶼 （全）-1,829.0
21,7,第一冊,4,海岸與島嶼,0,章節總複習,章節所有知識點,海岸與島嶼 （全）-2,830.0
22,7,第一冊,5,天氣與氣候,1,臺灣的天氣,氣候特徵、影響因素,臺灣的天氣,831.0
23,7,第一冊,5,天氣與氣候,2,臺灣的氣候,季風環流、降雨分布,臺灣的氣候,832.0
24,7,第一冊,5,天氣與氣候,3,臺灣的氣候特徵,季風氣候、雨季分明,臺灣的氣候特徵,833.0
25,7,第一冊,5,天氣與氣候,4,臺灣的氣象災害,颱風、地震,臺灣的氣象災害,834.0
26,7,第一冊,5,天氣與氣候,0,章節總複習,章節所有知識點,天氣與氣候 （全）-1,835.0
27,7,第一冊,5,天氣與氣候,0,章節總複習,章節所有知識點,天氣與氣候 （全）-2,836.0
28,7,第一冊,6,水文,1,水循環,蒸發、降水,水循環,837.0
29,7,第一冊,6,水文,2,水系與流域,水系構成、水系與流域的關係,水系與流域,838.0
30,7,第一冊,6,水文,3,臺灣河川的特色,河川兩端短急、季節分配不均,臺灣河川的特色,839.0
31,7,第一冊,6,水文,4,臺灣水資源利用與保育,水資源管理、水資源永續利用,臺灣水資源利用與保育,840.0
32,7,第一冊,6,水文,0,章節總複習,章節所有知識點,水文 （全）-1,841.0
33,7,第一冊,6,水文,0,章節總複習,章節所有知識點,水文 （全）-2,842.0
34,7,第二冊,1,臺灣的人口成長與分布,1,臺灣的人口數量有何變化？,人口成長因素、少子化趨勢,臺灣的人口數量有何變化？,843.0
35,7,第二冊,1,臺灣的人口成長與分布,2,臺灣的人口主要分布在哪裡？,人口分布特徵、城鄉差距,臺灣的人口主要分布在哪裡？,844.0
36,7,第二冊,1,臺灣的人口成長與分布,3,人們為什麼要遷移？,人口遷移原因、遷移種類,人們為什麼要遷移？,845.0
37,7,第二冊,1,臺灣的人口成長與分布,0,章節總複習,章節所有知識點,臺灣的人口成長與分布 （全）-1,846.0
38,7,第二冊,1,臺灣的人口成長與分布,0,章節總複習,章節所有知識點,臺灣的人口成長與分布 （全）-2,847.0
39,7,第二冊,2,臺灣的人口組成與族群文化,1,人口組成是什麼？,人口結構、人口金字塔,人口組成是什麼？,848.0
40,7,第二冊,2,臺灣的人口組成與族群文化,2,臺灣有哪些人口問題？,人口密度高、人口老化,臺灣有哪些人口問題？,849.0
41,7,第二冊,2,臺灣的人口組成與族群文化,3,臺灣的多元族群形成哪些文化特色？,族群多樣性、文化融合,臺灣的多元族群形成哪些文化特色？,850.0
42,7,第二冊,2,臺灣的人口組成與族群文化,0,章節總複習,章節所有知識點,臺灣的人口組成與族群文化 （全）-1,851.0
43,7,第二冊,2,臺灣的人口組成與族群文化,0,章節總複習,章節所有知識點,臺灣的人口組成與族群文化 （全）-2,852.0
44,7,第二冊,3,臺灣的農業,1,臺灣的第一級產業活動有哪些 特色？,農業地域特色、氣候影響,臺灣的第一級產業活動有哪些 特色？,853.0
45,7,第二冊,3,臺灣的農業,2,臺灣農業有哪些挑戰與對策？,市場競爭、環境變遷,臺灣農業有哪些挑戰與對策？,854.0
46,7,第二冊,3,臺灣的農業,0,章節總複習,章節所有知識點,臺灣的農業 （全）-1,855.0
47,7,第二冊,3,臺灣的農業,0,章節總複習,章節所有知識點,臺灣的農業 （全）-2,856.0
48,7,第二冊,4,臺灣的工業發展與國際貿易,1,如何選擇工廠的位置？,交通便利性、工業聚落,如何選擇工廠的位置？,857.0
49,7,第二冊,4,臺灣的工業發展與國際貿易,2,臺灣的工業發展有何特色？,加工出口區、資訊電子產業,臺灣的工業發展有何特色？,858.0
50,7,第二冊,4,臺灣的工業發展與國際貿易,3,臺灣的國際貿易有何特色？,出口導向政策、多樣化市場策略,臺灣的國際貿易有何特色？,859.0
51,7,第二冊,4,臺灣的工業發展與國際貿易,0,章節總複習,章節所有知識點,臺灣的工業發展與國際貿易 （全）-1,860.0
52,7,第二冊,4,臺灣的工業發展與國際貿易,0,章節總複習,章節所有知識點,臺灣的工業發展與國際貿易 （全）-2,861.0
53,7,第二冊,5,臺灣的聚落與交通,1,聚落體系是如何發展的？,聚落分布、交通發展,聚落體系是如何發展的？,862.0
54,7,第二冊,5,臺灣的聚落與交通,2,聚落發展與交通網絡有何關聯？,交通網絡、聚落發展,聚落發展與交通網絡有何關聯？,863.0
55,7,第二冊,5,臺灣的聚落與交通,3,臺灣的都市發展有何特色？,都市化過程、都市功能,臺灣的都市發展有何特色？,864.0
56,7,第二冊,5,臺灣的聚落與交通,0,章節總複習,章節所有知識點,臺灣的聚落與交通 （全）-1,865.0
57,7,第二冊,5,臺灣的聚落與交通,0,章節總複習,章節所有知識點,臺灣的聚落與交通 （全）-2,866.0
58,7,第二冊,6,臺灣的區域發展及空間差異,1,臺灣的區域發展有何差異？,經濟發展不均、都市化,臺灣的區域發展有何差異？,867.0
59,7,第二冊,6,臺灣的區域發展及空間差異,2,臺灣各區域應該如何適性規劃？,地理特性、區域資源分配,臺灣各區域應該如何適性規劃？,868.0
60,7,第二冊,6,臺灣的區域發展及空間差異,0,章節總複習,章節所有知識點,臺灣的區域發展及空間差異 （全）-1,869.0
61,7,第二冊,6,臺灣的區域發展及空間差異,0,章節總複習,章節所有知識點,臺灣的區域發展及空間差異 （全）-2,870.0
62,8,第三冊,1,中國的自然環境與傳統維生方式,1,中國的自然環境有何特徵？,地形多樣性、多樣氣候,中國的自然環境有何特徵？,871.0
63,8,第三冊,1,中國的自然環境與傳統維生方式,2,傳統中國的維生方式有何特徵？,農業技術、環境適應,傳統中國的維生方式有何特徵？,872.0
64,8,第四冊,1,中國的自然環境與傳統維生方式,1,中國的自然環境有何特徵？,地形多樣性、氣候多變性,中國的自然環境有何特徵？,873.0
65,8,第四冊,1,中國的自然環境與傳統維生方式,2,傳統中國的維生方式有何特徵？,農業社會、家庭作坊,傳統中國的維生方式有何特徵？,874.0
